sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
Sample S2C_Feb17,Site O700,rawWW,cpTP24h,,2021-02-16 11:45:00,2021-02-17 11:45:00,1.0,,Yes,
Sample S3C_Feb17,Site O400,rawWW,cpTP24h,,2021-02-16 11:45:00,2021-02-17 11:45:00,1.0,,Yes,
Sample S4C_Feb17,Site O500,rawWW,cpTP24h,,2021-02-16 11:45:00,2021-02-17 11:45:00,1.0,,Yes,
Sample S1C_Feb24,Site O100,rawWW,cpTP24h,,2021-02-23 11:05:00,2021-02-24 11:05:00,1.0,,Yes,
Sample S2C_Feb24,Site O200,rawWW,cpTP24h,,2021-02-23 11:15:00,2021-02-24 11:15:00,1.0,,Yes,
Sample S4C_Feb24,Site O400,rawWW,cpTP24h,,2021-02-23 11:45:00,2021-02-24 11:45:00,1.0,,Yes,
Sample S5C_Feb24,Site O500,rawWW,cpTP24h,,2021-02-23 11:45:00,2021-02-24 11:45:00,1.0,,Yes,
Sample S6C_Feb24,Site O600,rawWW,cpTP24h,,2021-02-23 11:45:00,2021-02-24 11:45:00,1.0,,Yes,
Sample S7C_Feb24,Site O700,rawWW,cpTP24h,,2021-02-23 11:46:00,2021-02-24 11:46:00,1.0,,Yes,
Sample S8G_Feb24,Site O800,rawWW,grb,2021-02-24 12:34:00,,,1.0,,Yes,
Sample S1C_Mar3,Site O100,rawWW,cpTP24h,,2021-03-02 11:05:00,2021-03-03 11:05:00,1.0,,Yes,
Sample S2C_Mar3,Site O200,rawWW,cpTP24h,,2021-03-02 11:25:00,2021-03-03 11:25:00,1.0,,Yes,
Sample S4C_Mar3,Site O400,rawWW,cpTP24h,,2021-03-02 10:45:00,2021-03-03 10:45:00,1.0,,Yes,
Sample S5C_Mar3,Site O500,rawWW,cpTP24h,,2021-03-02 10:45:00,2021-03-03 10:45:00,1.0,,Yes,
Sample S6G_Mar3,Site O600,rawWW,grb,2021-03-03 12:37:00,,,1.0,,Yes,
Sample S7C_Mar3,Site O700,rawWW,cpTP24h,,2021-03-02 10:45:00,2021-03-03 10:45:00,1.0,,Yes,
Sample S8C_Mar3,Site O800,rawWW,cpTP24h,,2021-03-02 06:00:00,2021-03-03 06:00:00,1.0,,Yes,
Sample S1C_Mar10,Site O100,rawWW,cpTP24h,,2021-03-09 11:00:00,2021-03-10 11:00:00,1.0,,Yes,
Sample S2C_Mar10,Site O200,rawWW,cpTP24h,,2021-03-09 11:05:00,2021-03-10 11:05:00,1.0,,Yes,
Sample S4C_Mar10,Site O400,rawWW,cpTP24h,,2021-03-09 07:45:00,2021-03-10 07:45:00,1.0,,Yes,
Sample S5C_Mar10,Site O500,rawWW,cpTP24h,,2021-03-09 07:45:00,2021-03-10 07:45:00,1.0,,Yes,
Sample S6C_Mar10,Site O600,rawWW,cpTP24h,,2021-03-09 07:45:00,2021-03-10 07:45:00,1.0,,Yes,
Sample S7G_Mar10,Site O700,rawWW,grb,2021-03-10 13:18:00,,,1.0,,Yes,
Sample S8C_Mar10,Site O800,rawWW,cpTP24h,,2021-03-09 07:45:00,2021-03-10 07:45:00,1.0,,Yes,
Sample S1C_Mar17,Site O100,rawWW,cpTP24h,,2021-03-16 11:05:00,2021-03-17 11:05:00,1.0,,Yes,
Sample S2C_Mar17,Site O200,rawWW,cpTP24h,,2021-03-16 11:25:00,2021-03-17 11:25:00,1.0,,Yes,
Sample S4C_Mar17,Site O400,rawWW,cpTP24h,,2021-03-16 07:45:00,2021-03-17 07:45:00,1.0,,Yes,
Sample S7C_Dup_Mar17,Site O700,rawWW,cpTP24h,,2021-03-16 07:45:00,2021-03-17 07:45:00,1.0,,Yes,
Sample S5C_Mar17,Site O500,rawWW,cpTP24h,,2021-03-16 07:45:00,2021-03-17 07:45:00,1.0,,Yes,
Sample S6C_Mar17,Site O600,rawWW,cpTP24h,,2021-03-16 07:45:00,2021-03-17 07:45:00,1.0,,Yes,
Sample S7C_Mar17,Site O700,rawWW,cpTP24h,,2021-03-16 07:45:00,2021-03-17 07:45:00,1.0,,Yes,
Sample S8C_Mar17,Site O800,rawWW,cpTP24h,,2021-03-16 07:45:00,2021-03-17 07:45:00,1.0,,Yes,
Sample S1C_Mar24,Site O100,rawWW,cpTP24h,,2021-03-23 11:30:00,2021-03-24 11:30:00,1.0,,Yes,
Sample S2C_Mar24,Site O200,rawWW,cpTP24h,,2021-03-23 11:45:00,2021-03-23 11:45:00,1.0,,Yes,
Sample S4C_Mar24,Site O400,rawWW,cpTP24h,,2021-03-23 07:45:00,2021-03-24 07:45:00,1.0,,Yes,
Sample S5C_Mar24,Site O500,rawWW,cpTP24h,,2021-03-23 07:45:00,2021-03-24 07:45:00,1.0,,Yes,
Sample S6C_Mar24,Site O600,rawWW,cpTP24h,,2021-03-23 07:45:00,2021-03-24 07:45:00,1.0,,Yes,
Sample S7C_Mar24,Site O700,rawWW,cpTP24h,,2021-03-23 07:45:00,2021-03-24 07:45:00,1.0,,Yes,
Sample S8C_Mar24,Site O800,rawWW,cpTP24h,,2021-03-23 07:45:00,2021-03-24 07:45:00,1.0,,Yes,
Sample S1C_Mar31,Site O100,rawWW,cpTP24h,,2021-03-30 11:25:00,2021-03-31 11:25:00,1.0,,Yes,
Sample S2C_Mar31,Site O200,rawWW,cpTP24h,,2021-03-30 11:45:00,2021-03-31 11:45:00,1.0,,Yes,
Sample S4C_Mar31,Site O400,rawWW,cpTP24h,,2021-03-30 07:45:00,2021-03-31 07:45:00,1.0,,Yes,
Sample S5C_Mar31,Site O500,rawWW,cpTP24h,,2021-03-30 07:45:00,2021-03-31 07:45:00,1.0,,Yes,
Sample S6C_Mar31,Site O600,rawWW,cpTP24h,,2021-03-30 07:45:00,2021-03-31 07:45:00,1.0,,Yes,
Sample S6C_Dup_Mar31,Site O600,rawWW,cpTP24h,,2021-03-30 07:45:00,2021-03-31 07:45:00,1.0,,Yes,
Sample S7G_Mar31,Site O700,rawWW,cpTP24h,,2021-03-30 07:45:00,2021-03-31 07:45:00,1.0,,Yes,
Sample S8C_Mar31,Site O800,rawWW,cpTP24h,,2021-03-30 07:45:00,2021-03-31 07:45:00,1.0,,Yes,
Sample S1G_Apr7,Site O100,rawWW,grb,2021-04-07 11:20:00,,,1.0,,Yes,
Sample  S2C_Apr7,Site O200,rawWW,cpTP24h,,2021-04-06 11:30:00,2021-04-07 11:30:00,1.0,,Yes,
Sample S4G_Apr8,Site O400,rawWW,grb,2021-04-08 12:00:00,,,1.0,,Yes,
Sample S5C_Apr8,Site O500,rawWW,cpTP24h,,2021-04-07 12:00:00,2021-04-08 11:30:00,1.0,,Yes,
Sample S6C_Apr8,Site O600,rawWW,cpTP24h,,2021-04-07 07:45:00,2021-04-08 07:45:00,1.0,,Yes,
Sample S7C_Apr8,Site O700,rawWW,cpTP24h,,2021-04-07 13:05:00,2021-04-08 13:05:00,1.0,,Yes,
Sample S8G_Apr8,Site O800,rawWW,grb,2021-04-08 12:02:00,,,1.0,,Yes,
Sample 1G_Apr14,Site O100,rawWW,grb,2021-04-14 11:25:00,,,1.0,,Yes,
Sample 2C_Apr14,Site O200,rawWW,cpTP24h,,2021-04-13 11:45:00,2021-04-14 11:45:00,1.0,,Yes,
Sample 2C_Dup_Apr14,Site O200,rawWW,cpTP24h,,2021-04-13 11:45:00,2021-04-14 11:45:00,1.0,,Yes,
Sample 4C_Apr14,Site O400,rawWW,cpTP24h,,2021-04-13 07:45:00,2021-04-14 07:45:00,1.0,,Yes,
Sample 5C_Apr14,Site O500,rawWW,cpTP24h,,2021-04-13 07:45:00,2021-04-14 07:45:00,1.0,,Yes,
Sample 6C_Apr14,Site O600,rawWW,cpTP24h,,2021-04-13 07:45:00,2021-04-14 07:45:00,1.0,,Yes,
Sample 7C_Apr14,Site O700,rawWW,cpTP24h,,2021-04-13 07:45:00,2021-04-14 07:45:00,1.0,,Yes,
Sample 8C_Apr14,Site O800,rawWW,cpTP24h,,2021-04-13 07:45:00,2021-04-14 07:45:00,1.0,,Yes,
Sample 9G_Apr14,Site O900,rawWW,grb,2021-04-14 11:15:00,,,1.0,,Yes,
Sample 1G_Apr21,Site O100,rawWW,grb,2021-04-21 11:15:00,,,1.0,,Yes,
Sample 2C_Apr21,Site O200,rawWW,cpTP24h,,2021-04-20 11:30:00,2021-04-21 11:30:00,1.0,,Yes,
Sample 4G_Apr21,Site O400,rawWW,grb,2021-04-21 08:40:00,,,1.0,,Yes,
Sample 5G_Apr21,Site O500,rawWW,grb,2021-04-21 09:25:00,,,1.0,,Yes,
Sample 6G_Apr21,Site O600,rawWW,grb,2021-04-21 09:10:00,,,1.0,,Yes,
Sample 7G_Apr21,Site O700,rawWW,grb,2021-04-21 08:15:00,,,1.0,,Yes,
Sample 8G_Apr21,Site O800,rawWW,grb,2021-04-21 07:35:00,,,1.0,,Yes,
Sample 9G_Apr21,Site O900,rawWW,grb,2021-04-21 11:45:00,,,1.0,,Yes,
Sample 1G_Apr28,Site O100,rawWW,grb,2021-04-28 11:45:00,,,1.0,,Yes,
Sample 2C_Apr28,Site O200,rawWW,cpTP24h,,2021-04-27 11:40:00,2021-04-28 11:40:00,1.0,11.93,Yes,
Sample 4C_Apr28,Site O400,rawWW,cpTP24h,,2021-04-27 08:00:00,2021-04-28 08:00:00,1.0,,Yes,
Sample 5C_Apr28,Site O500,rawWW,cpTP24h,,2021-04-27 08:00:00,2021-04-28 08:00:00,1.0,,Yes,
Sample 6C_Apr28,Site O600,rawWW,cpTP24h,,2021-04-27 07:45:00,2021-04-28 07:45:00,1.0,,Yes,
Sample 7C_Apr28,Site O700,rawWW,cpTP24h,,2021-04-27 07:45:00,2021-04-28 07:45:00,1.0,,Yes,
Sample 8C_Apr28,Site O800,rawWW,cpTP24h,,2021-04-27 05:45:00,2021-04-28 05:45:00,1.0,,Yes,
Sample 9G_Apr28,Site O900,rawWW,grb,2021-04-28 11:30:00,,,1.0,,Yes,
Sample 1G_May5,Site O100,rawWW,grb,2021-05-05 09:20:00,,,1.0,,Yes,
Sample 2C_May5,Site O200,rawWW,cpTP24h,,2021-05-04 09:15:00,2021-05-05 09:15:00,1.0,12.12,Yes,
Sample 4C_May5,Site O400,rawWW,cpTP24h,,2021-05-04 07:45:00,2021-05-05 07:45:00,1.0,,Yes,
Sample 5C_May5,Site O500,rawWW,cpTP24h,,2021-05-04 07:45:00,2021-05-05 07:45:00,1.0,,Yes,
Sample 6C_May5,Site O600,rawWW,cpTP24h,,2021-05-04 07:45:00,2021-05-05 07:45:00,1.0,,Yes,
Sample 7G_May5,Site O700,rawWW,grb,2021-05-04 10:20:00,,,1.0,,Yes,
Sample 8C_May5,Site O800,rawWW,cpTP24h,,2021-05-04 07:45:00,2021-05-05 07:45:00,1.0,,Yes,
Sample 9C_May5,Site O1000,rawWW,cpTP24h,,2021-05-04 09:00:00,2021-05-05 09:00:00,1.0,,Yes,
Sample 2C_May12,Site O200,rawWW,cpTP24h,,2021-05-11 09:15:00,2021-05-12 09:15:00,1.0,12.18,Yes,
Sample 2C_Dup_May12,Site O200,rawWW,cpTP24h,,2021-05-11 09:15:00,2021-05-12 09:15:00,1.0,12.18,Yes,
Sample 4C_May12,Site O400,rawWW,cpTP24h,,2021-05-11 07:45:00,2021-05-12 07:45:00,1.0,,Yes,
Sample 5C_May12,Site O500,rawWW,cpTP24h,,2021-05-11 07:45:00,2021-05-12 07:45:00,1.0,,Yes,
Sample 6C_May12,Site O600,rawWW,cpTP24h,,2021-05-11 07:45:00,2021-05-12 07:45:00,1.0,,Yes,
Sample 7C_May12,Site O700,rawWW,cpTP24h,,2021-05-11 07:45:00,2021-05-12 07:45:00,1.0,,Yes,
Sample 8C_May12,Site O800,rawWW,cpTP24h,,2021-05-11 07:45:00,2021-05-12 07:45:00,1.0,,Yes,
Sample 1G_May12,Site O1000,rawWW,grb,2021-05-12 09:00:00,,,1.0,,Yes,
Sample 2C_May19,Site O200,rawWW,cpTP24h,,2021-05-18 10:40:00,2021-05-19 10:40:00,1.0,22.72,Yes,
Sample 4C_May19,Site O400,rawWW,cpTP24h,,2021-05-18 07:45:00,2021-05-19 07:45:00,1.0,,Yes,
Sample 5C_May19,Site O500,rawWW,cpTP24h,,2021-05-18 07:45:00,2021-05-19 07:45:00,1.0,,Yes,
Sample 6C_May19,Site O600,rawWW,cpTP24h,,2021-05-18 07:45:00,2021-05-19 07:45:00,1.0,,Yes,
Sample 7C_May19,Site O700,rawWW,cpTP24h,,2021-05-18 07:45:00,2021-05-19 07:45:00,1.0,,Yes,
Sample 8C_May19,Site O800,rawWW,cpTP24h,,2021-05-18 07:45:00,2021-05-19 07:45:00,1.0,,Yes,
Sample 1C_May19,Site O1000,rawWW,cpTP24h,,2021-05-18 10:15:00,2021-05-19 10:15:00,1.0,,Yes,
Sample 2C_May26,Site O200,rawWW,cpTP24h,,2021-05-25 09:55:00,2021-05-26 09:55:00,1.0,15.45,Yes,
