uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes
2_Site O500_Sample S5C_Feb24_2021-02-24,Site O500,Sample S5C_Feb24,CarletonU R1,2021-02-24 12:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,14.92,L/s,
3_Site O500_Sample S5C_Mar3_2021-03-03,Site O500,Sample S5C_Mar3,CarletonU R1,2021-03-03 11:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,15.41,L/s,
4_Site O500_Sample S5C_Mar10_2021-03-10,Site O500,Sample S5C_Mar10,CarletonU R1,2021-03-10 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,15.28,L/s,
5_Site O500_Sample S5C_Mar17_2021-03-17,Site O500,Sample S5C_Mar17,CarletonU R1,2021-03-17 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,14.98,L/s,
6_Site O500_Sample S5C_Mar24_2021-03-24,Site O500,Sample S5C_Mar24,CarletonU R1,2021-03-24 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,14.67,L/s,
7_Site O500_Sample S5C_Mar31_2021-03-31,Site O500,Sample S5C_Mar31,CarletonU R1,2021-03-31 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,10.34,L/s,
8_Site O500_Sample S5C_Apr8_2021-04-08,Site O500,Sample S5C_Apr8,CarletonU R1,2021-04-08 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,15.06,L/s,
9_Site O500_Sample 5C_Apr14_2021-04-14,Site O500,Sample 5C_Apr14,CarletonU R1,2021-04-14 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,15.35,L/s,
10_Site O500_Sample 5G_Apr21_2021-04-21,Site O500,Sample 5G_Apr21,CarletonU R1,2021-04-21 10:00:00,wwFlow,,Daily average flow rates,mean,,,0.0,L/s,
11_Site O500_Sample 5C_Apr28_2021-04-28,Site O500,Sample 5C_Apr28,CarletonU R1,2021-04-28 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,14.86,L/s,
12_Site O500_Sample 5C_May5_2021-05-05,Site O500,Sample 5C_May5,CarletonU R1,2021-05-05 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,14.37,L/s,
13_Site O500_Sample 5C_May12_2021-05-12,Site O500,Sample 5C_May12,CarletonU R1,2021-05-12 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,15.14,L/s,
14_Site O500_Sample 5C_May19_2021-05-19,Site O500,Sample 5C_May19,CarletonU R1,2021-05-19 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,15.84,L/s,
15_Site O500_Sample 5C_May27_2021-05-27,Site O500,Sample 5C_May27,CarletonU R1,2021-05-27 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,16.29,L/s,
16_Site O500_Sample  5XC_June2_2021-06-02,Site O500,Sample  5XC_June2,CarletonU R1,2021-06-02 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,15.87,L/s,
17_Site O500_Sample 5C_June9_2021-06-09,Site O500,Sample 5C_June9,CarletonU R1,2021-06-09 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,15.51,L/s,
18_Site O600_Sample S6C_Feb24_2021-02-24,Site O600,Sample S6C_Feb24,CarletonU R1,2021-02-24 12:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,534.64,L/s,
19_Site O600_Sample S6G_Mar3_2021-03-03,Site O600,Sample S6G_Mar3,CarletonU R1,2021-03-03 11:00:00,wwFlow,,Daily average flow rates,mean,,,652.98,L/s,
20_Site O600_Sample S6C_Mar10_2021-03-10,Site O600,Sample S6C_Mar10,CarletonU R1,2021-03-10 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,549.87,L/s,
21_Site O600_Sample S6C_Mar17_2021-03-17,Site O600,Sample S6C_Mar17,CarletonU R1,2021-03-17 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,740.31,L/s,
22_Site O600_Sample S6C_Mar24_2021-03-24,Site O600,Sample S6C_Mar24,CarletonU R1,2021-03-24 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,774.55,L/s,
23_Site O600_Sample S6C_Mar31_2021-03-24,Site O600,Sample S6C_Mar31,CarletonU R1,2021-03-24 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,1031.48,L/s,
24_Site O600_Sample S6C_Dup_Mar31_2021-03-31,Site O600,Sample S6C_Dup_Mar31,CarletonU R1,2021-03-31 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,1031.48,L/s,
25_Site O600_Sample S6C_Apr8_2021-03-31,Site O600,Sample S6C_Apr8,CarletonU R1,2021-03-31 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,721.46,L/s,
26_Site O600_Sample 6C_Apr14_2021-04-08,Site O600,Sample 6C_Apr14,CarletonU R1,2021-04-08 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,643.34,L/s,
27_Site O600_Sample 6G_Apr21_2021-04-14,Site O600,Sample 6G_Apr21,CarletonU R1,2021-04-14 08:00:00,wwFlow,,Daily average flow rates,mean,,,773.32,L/s,
28_Site O600_Sample 6C_Apr28_2021-04-21,Site O600,Sample 6C_Apr28,CarletonU R1,2021-04-21 10:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,613.71,L/s,
29_Site O600_Sample 6C_May5_2021-04-28,Site O600,Sample 6C_May5,CarletonU R1,2021-04-28 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,716.57,L/s,
30_Site O600_Sample 6C_May12_2021-05-05,Site O600,Sample 6C_May12,CarletonU R1,2021-05-05 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,697.39,L/s,
31_Site O600_Sample 6C_May19_2021-05-12,Site O600,Sample 6C_May19,CarletonU R1,2021-05-12 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,610.17,L/s,
32_Site O600_Sample 6C_May27_2021-05-19,Site O600,Sample 6C_May27,CarletonU R1,2021-05-19 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,559.79,L/s,
33_Site O600_Sample 6_Dup_May27_2021-05-27,Site O600,Sample 6_Dup_May27,CarletonU R1,2021-05-27 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,525.58,L/s,
34_Site O600_Sample 6C_June2_2021-05-27,Site O600,Sample 6C_June2,CarletonU R1,2021-05-27 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,523.82,L/s,
35_Site O600_Sample 6C_June9_2021-06-02,Site O600,Sample 6C_June9,CarletonU R1,2021-06-02 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,523.82,L/s,
36_Site O700_Sample S7C_Feb24_2021-02-24,Site O700,Sample S7C_Feb24,CarletonU R1,2021-02-24 12:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,9.45,L/s,
37_Site O700_Sample S7C_Mar3_2021-03-03,Site O700,Sample S7C_Mar3,CarletonU R1,2021-03-03 11:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,9.36,L/s,
38_Site O700_Sample S7G_Mar10_2021-03-03,Site O700,Sample S7G_Mar10,CarletonU R1,2021-03-03 13:20:00,wwFlow,,Daily average flow rates,mean,,,0.0,L/s,
39_Site O700_Sample S7C_Mar17_2021-03-17,Site O700,Sample S7C_Mar17,CarletonU R1,2021-03-17 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,13.84,L/s,
40_Site O700_Sample S7C_Mar24_2021-03-24,Site O700,Sample S7C_Mar24,CarletonU R1,2021-03-24 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,18.51,L/s,
41_Site O700_Sample S7G_Mar31_2021-03-31,Site O700,Sample S7G_Mar31,CarletonU R1,2021-03-31 12:50:00,wwFlow,,Daily average flow rates,mean,,,10.15,L/s,
42_Site O700_Sample S7C_Apr8_2021-04-08,Site O700,Sample S7C_Apr8,CarletonU R1,2021-04-08 08:00:00,wwFlow,,Daily average flow rates; 24h Avg for composite samples,mean,,,15.81,L/s,
