uWwMeasureID,sampleID,labID,assayMethodID,instrumentID,reporterID,analysisDate,reportDate,fractionAnalyzed,type,typeOther,unit,unitOther,index,value,qualityFlag,CF,ESV,notes,Unnamed: 19,Unnamed: 20,Unnamed: 21
2_Sample S2C_Feb17_covN1_1_2021-02-17,Sample S2C_Feb17,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN1,,gcMl,,1.0,0.810528266,,,,,,,
3_Sample S2C_Feb17_covN1_2_2021-02-17,Sample S2C_Feb17,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN1,,gcMl,,2.0,1.684133718,,,,,,,
4_Sample S2C_Feb17_covN1_3_2021-02-17,Sample S2C_Feb17,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN1,,gcMl,,3.0,0.761669362,,,,,,,
5_Sample S2C_Feb17_covN2_1_2021-02-17,Sample S2C_Feb17,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN2,,gcMl,,1.0,0.0,,,,Non-detect (ND),,,
6_Sample S2C_Feb17_covN2_2_2021-02-17,Sample S2C_Feb17,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN2,,gcMl,,2.0,5.084856273,,,,,,,
7_Sample S2C_Feb17_covN2_3_2021-02-17,Sample S2C_Feb17,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN2,,gcMl,,3.0,0.744997861,,,,,,,
8_Sample S2C_Feb17_nPMMoV_1_2021-02-17,Sample S2C_Feb17,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,nPMMoV,,gcMl,,1.0,20037.64196,,,,,,,
9_Sample S2C_Feb17_nPMMoV_2_2021-02-17,Sample S2C_Feb17,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,nPMMoV,,gcMl,,2.0,19726.1808,,,,,,,
10_Sample S2C_Feb17_nPMMoV_3_2021-02-17,Sample S2C_Feb17,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,nPMMoV,,gcMl,,3.0,19969.41515,,,,,,,
11_Sample S3C_Feb17_covN1_1_2021-02-17,Sample S3C_Feb17,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN1,,gcMl,,1.0,13.11442522,,,,,,,
12_Sample S3C_Feb17_covN1_2_2021-02-17,Sample S3C_Feb17,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN1,,gcMl,,2.0,12.41227001,,,,,,,
13_Sample S3C_Feb17_covN1_3_2021-02-17,Sample S3C_Feb17,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN1,,gcMl,,3.0,15.31693032,,,,,,,
14_Sample S3C_Feb17_covN2_1_2021-02-17,Sample S3C_Feb17,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN2,,gcMl,,1.0,13.4648234,,,,,,,
15_Sample S3C_Feb17_covN2_2_2021-02-17,Sample S3C_Feb17,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN2,,gcMl,,2.0,9.452769376,,,,,,,
16_Sample S3C_Feb17_covN2_3_2021-02-17,Sample S3C_Feb17,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN2,,gcMl,,3.0,9.653380072,,,,,,,
17_Sample S3C_Feb17_nPMMoV_1_2021-02-17,Sample S3C_Feb17,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,nPMMoV,,gcMl,,1.0,13268.32302,,,,,,,
18_Sample S3C_Feb17_nPMMoV_2_2021-02-17,Sample S3C_Feb17,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,nPMMoV,,gcMl,,2.0,10822.16579,,,,,,,
19_Sample S3C_Feb17_nPMMoV_3_2021-02-17,Sample S3C_Feb17,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,nPMMoV,,gcMl,,3.0,13303.55167,,,,,,,
20_Sample S4C_Feb17_covN1_1_2021-02-17,Sample S4C_Feb17,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN1,,gcMl,,1.0,0.174767651,,,,,,,
21_Sample S4C_Feb17_covN1_2_2021-02-17,Sample S4C_Feb17,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN1,,gcMl,,2.0,0.0,,,,Non-detect (ND),,,
22_Sample S4C_Feb17_covN1_3_2021-02-17,Sample S4C_Feb17,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN1,,gcMl,,3.0,0.198872907,,,,,,,
23_Sample S4C_Feb17_covN2_1_2021-02-17,Sample S4C_Feb17,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN2,,gcMl,,1.0,0.0,,,,Non-detect (ND),,,
24_Sample S4C_Feb17_covN2_2_2021-02-17,Sample S4C_Feb17,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN2,,gcMl,,2.0,0.217037201,,,,,,,
25_Sample S4C_Feb17_covN2_3_2021-02-17,Sample S4C_Feb17,CU Lab1,AssayMethod N2-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,covN2,,gcMl,,3.0,1.248398322,,,,,,,
26_Sample S4C_Feb17_nPMMoV_1_2021-02-17,Sample S4C_Feb17,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,nPMMoV,,gcMl,,1.0,19260.15383,,,,,,,
27_Sample S4C_Feb17_nPMMoV_2_2021-02-17,Sample S4C_Feb17,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,nPMMoV,,gcMl,,2.0,20385.79484,,,,,,,
28_Sample S4C_Feb17_nPMMoV_3_2021-02-17,Sample S4C_Feb17,CU Lab1,AssayMethod PMMoV-01,Instrument IN96,CarletonU R1,2021-02-17,2021-02-19,liquid,nPMMoV,,gcMl,,3.0,16682.98586,,,,,,,
29_Sample S1C_Feb24_covN1_1_2021-02-24,Sample S1C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,1.0,2.415422752,,,,,,,
30_Sample S1C_Feb24_covN1_2_2021-02-24,Sample S1C_Feb24,CU Lab1,AssayMethod N1-01,Instrument IN96,CarletonU R1,2021-02-24,2021-02-26,liquid,covN1,,gcMl,,2.0,0.078068286,,,,,,,
