sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes
WWTP264,WWTP,rawWW,cpTP24h,,2021-04-25 00:00:00,2021-04-26 00:00:00,1.0,,Yes,,,
WWTP234,WWTP,rawWW,cpTP24h,,2021-04-22 00:00:00,2021-04-23 00:00:00,1.0,,Yes,,,
WWTP214,WWTP,rawWW,cpTP24h,,2021-04-20 00:00:00,2021-04-21 00:00:00,1.0,,Yes,,,
WWTP194,WWTP,rawWW,cpTP24h,,2021-04-18 00:00:00,2021-04-19 00:00:00,1.0,,Yes,,,
ACT234,ACT,rawWW,cpTP24h,,2021-04-22 00:00:00,2021-04-23 00:00:00,1.0,,Yes,,,
GT234,GT,rawWW,cpTP24h,,2021-04-22 00:00:00,2021-04-23 00:00:00,1.0,,Yes,,,
MH234,MH,rawWW,cpTP24h,,2021-04-22 00:00:00,2021-04-23 00:00:00,1.0,,Yes,,,
ACT264,ACT,rawWW,cpTP24h,,2021-04-25 00:00:00,2021-04-26 00:00:00,1.0,,Yes,,,
GT264,GT,rawWW,cpTP24h,,2021-04-25 00:00:00,2021-04-26 00:00:00,1.0,,Yes,,,
MH264,MH,rawWW,cpTP24h,,2021-04-25 00:00:00,2021-04-26 00:00:00,1.0,,Yes,,,
STHOM242,STHOM,rawWW,cpTP24h,,2021-02-23 00:00:00,2021-02-24 00:00:00,1.0,,Yes,,,
STHOM262,STHOM,rawWW,cpTP24h,,2021-02-25 00:00:00,2021-02-26 00:00:00,1.0,,Yes,,,
STHOM23,STHOM,rawWW,cpTP24h,,2021-03-01 00:00:00,2021-03-02 00:00:00,1.0,,Yes,,,
STHOM33,STHOM,rawWW,cpTP24h,,2021-03-02 00:00:00,2021-03-03 00:00:00,1.0,,Yes,,,
STHOM53,STHOM,rawWW,cpTP24h,,2021-03-04 00:00:00,2021-03-05 00:00:00,1.0,,Yes,,,
STHOM83,STHOM,rawWW,cpTP24h,,2021-03-08 00:00:00,2021-03-09 00:00:00,1.0,,Yes,,,
STHOM103,STHOM,rawWW,cpTP24h,,2021-03-09 00:00:00,2021-03-10 00:00:00,1.0,,Yes,,,
STHOM153,STHOM,rawWW,cpTP24h,,2021-03-14 00:00:00,2021-03-15 00:00:00,1.0,,Yes,,,
STHOM173,STHOM,rawWW,cpTP24h,,2021-03-16 00:00:00,2021-03-17 00:00:00,1.0,,Yes,,,
STHOM193,STHOM,rawWW,cpTP24h,,2021-03-18 00:00:00,2021-03-19 00:00:00,1.0,,Yes,,,
STHOM223,STHOM,rawWW,cpTP24h,,2021-03-21 00:00:00,2021-03-22 00:00:00,1.0,,Yes,,,
STHOM243,STHOM,rawWW,cpTP24h,,2021-03-23 00:00:00,2021-03-24 00:00:00,1.0,,Yes,,,
STHOM263,STHOM,rawWW,cpTP24h,,2021-03-25 00:00:00,2021-03-26 00:00:00,1.0,,Yes,,,
STHOM293,STHOM,rawWW,cpTP24h,,2021-03-28 00:00:00,2021-03-29 00:00:00,1.0,,Yes,,,
STHOM313,STHOM,rawWW,cpTP24h,,2021-03-30 00:00:00,2021-03-31 00:00:00,1.0,,Yes,,,
STHOM24,STHOM,rawWW,cpTP24h,,2021-04-01 00:00:00,2021-04-02 00:00:00,1.0,,Yes,,,
STHOM54,STHOM,rawWW,cpTP24h,,2021-04-04 00:00:00,2021-04-05 00:00:00,1.0,,Yes,,,
STHOM74,STHOM,rawWW,cpTP24h,,2021-04-06 00:00:00,2021-04-07 00:00:00,1.0,,Yes,,,
STHOM94,STHOM,rawWW,cpTP24h,,2021-04-08 00:00:00,2021-04-09 00:00:00,1.0,,Yes,,,
STHOM124,STHOM,rawWW,cpTP24h,,2021-04-11 00:00:00,2021-04-12 00:00:00,1.0,,Yes,,,
STHOM144,STHOM,rawWW,cpTP24h,,2021-04-13 00:00:00,2021-04-14 00:00:00,1.0,,Yes,,,
STHOM164,STHOM,rawWW,cpTP24h,,2021-04-15 00:00:00,2021-04-16 00:00:00,1.0,,Yes,,,
STHOM194,STHOM,rawWW,cpTP24h,,2021-04-18 00:00:00,2021-04-19 00:00:00,1.0,,Yes,,,
STHOM214,STHOM,rawWW,cpTP24h,,2021-04-20 00:00:00,2021-04-21 00:00:00,1.0,,Yes,,,
ORANGE222,ORANGE,rawWW,cpTP24h,,2021-02-21 00:00:00,2021-02-22 00:00:00,1.0,,Yes,,,
ORANGE242,ORANGE,rawWW,cpTP24h,,2021-02-23 00:00:00,2021-02-24 00:00:00,1.0,,Yes,,,
ORANGE262,ORANGE,rawWW,cpTP24h,,2021-02-25 00:00:00,2021-02-26 00:00:00,1.0,,Yes,,,
ORANGE13,ORANGE,rawWW,cpTP24h,,2021-02-28 00:00:00,2021-03-01 00:00:00,1.0,,Yes,,,
ORANGE33,ORANGE,rawWW,cpTP24h,,2021-03-02 00:00:00,2021-03-03 00:00:00,1.0,,Yes,,,
ORANGE53,ORANGE,rawWW,cpTP24h,,2021-03-04 00:00:00,2021-03-05 00:00:00,1.0,,Yes,,,
ORANGE83,ORANGE,rawWW,cpTP24h,,2021-03-07 00:00:00,2021-03-08 00:00:00,1.0,,Yes,,,
ORANGE103,ORANGE,rawWW,cpTP24h,,2021-03-09 00:00:00,2021-03-10 00:00:00,1.0,,Yes,,,
ORANGE123,ORANGE,rawWW,cpTP24h,,2021-03-11 00:00:00,2021-03-12 00:00:00,1.0,,Yes,,,
ORANGE153,ORANGE,rawWW,cpTP24h,,2021-03-14 00:00:00,2021-03-15 00:00:00,1.0,,Yes,,,
ORANGE173,ORANGE,rawWW,cpTP24h,,2021-03-16 00:00:00,2021-03-17 00:00:00,1.0,,Yes,,,
ORANGE193,ORANGE,rawWW,cpTP24h,,2021-03-18 00:00:00,2021-03-19 00:00:00,1.0,,Yes,,,
ORANGE223,ORANGE,rawWW,cpTP24h,,2021-03-21 00:00:00,2021-03-22 00:00:00,1.0,,Yes,,,
ORANGE243,ORANGE,rawWW,cpTP24h,,2021-03-23 00:00:00,2021-03-24 00:00:00,1.0,,Yes,,,
ORANGE263,ORANGE,rawWW,cpTP24h,,2021-03-25 00:00:00,2021-03-26 00:00:00,1.0,,Yes,,,
ORANGE293,ORANGE,rawWW,cpTP24h,,2021-03-28 00:00:00,2021-03-29 00:00:00,1.0,,Yes,,,
ORANGE313,ORANGE,rawWW,cpTP24h,,2021-03-30 00:00:00,2021-03-31 00:00:00,1.0,,Yes,,,
ORANGE74,ORANGE,rawWW,cpTP24h,,2021-04-06 00:00:00,2021-04-07 00:00:00,1.0,,Yes,,,
ORANGE94,ORANGE,rawWW,cpTP24h,,2021-04-08 00:00:00,2021-04-09 00:00:00,1.0,,Yes,,,
ORANGE124,ORANGE,rawWW,cpTP24h,,2021-04-11 00:00:00,2021-04-12 00:00:00,1.0,,Yes,,,
ORANGE144,ORANGE,rawWW,cpTP24h,,2021-04-13 00:00:00,2021-04-14 00:00:00,1.0,,Yes,,,
ORANGE164,ORANGE,rawWW,cpTP24h,,2021-04-15 00:00:00,2021-04-16 00:00:00,1.0,,Yes,,,
ORANGE194,ORANGE,rawWW,cpTP24h,,2021-04-18 00:00:00,2021-04-19 00:00:00,1.0,,Yes,,,
ORANGE214,ORANGE,rawWW,cpTP24h,,2021-04-20 00:00:00,2021-04-21 00:00:00,1.0,,Yes,,,
ACT131,ACT,rawWW,cpTP24h,,2021-01-12 00:00:00,2021-01-13 00:00:00,1.0,,Yes,,,
