sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes
TPHAIL220930_1,TPHAIL,rawWW,cpTP24h,,2022-09-29 08:00:00,2022-09-30 08:00:00,0.5,,Yes,,,
TPHAIL220829_1,TPHAIL,rawWW,cpTP24h,,2022-08-28 08:00:00,2022-08-29 08:00:00,0.5,,Yes,,,
TPHAIL220829_2,TPHAIL,rawWW,cpTP24h,,2022-08-28 08:00:00,2022-08-29 08:00:00,0.5,,Yes,,,
TPHAIL220831_1,TPHAIL,rawWW,cpTP24h,,2022-08-30 08:00:00,2022-08-31 08:00:00,0.5,,Yes,,,
TPHAIL220831_2,TPHAIL,rawWW,cpTP24h,,2022-08-30 08:00:00,2022-08-31 08:00:00,0.5,,Yes,,,
TPHAIL220906_1,TPHAIL,rawWW,cpTP24h,,2022-09-05 08:00:00,2022-09-06 08:00:00,0.5,,Yes,,,
TPHAIL220906_2,TPHAIL,rawWW,cpTP24h,,2022-09-06 08:00:00,2022-09-07 08:00:00,0.5,,Yes,,,
TPHAIL220907_1,TPHAIL,rawWW,cpTP24h,,2022-09-07 08:00:00,2022-09-08 08:00:00,0.5,,Yes,,,
TPHAIL220907_2,TPHAIL,rawWW,cpTP24h,,2022-09-07 08:00:00,2022-09-08 08:00:00,0.5,,Yes,,,
TPHAIL220914_1,TPHAIL,rawWW,cpTP24h,,2022-09-13 08:00:00,2022-09-14 08:00:00,0.5,,Yes,,,
TPHAIL220916_1,TPHAIL,rawWW,cpTP24h,,2022-09-15 08:00:00,2022-09-16 08:00:00,0.5,,Yes,,,
TPHAIL220919_1,TPHAIL,rawWW,cpTP24h,,2022-09-18 08:00:00,2022-09-19 08:00:00,0.5,,Yes,,,
TPHAIL220921_1,TPHAIL,rawWW,cpTP24h,,2022-09-20 08:00:00,2022-09-21 08:00:00,0.5,,Yes,,,
TPHAIL220923_1,TPHAIL,rawWW,cpTP24h,,2022-09-22 08:00:00,2022-09-23 08:00:00,0.5,,Yes,,,
TPHAIL220923_2,TPHAIL,rawWW,cpTP24h,,2022-09-22 08:00:00,2022-09-23 08:00:00,0.5,,Yes,,,
TPHAIL220926_1,TPHAIL,rawWW,cpTP24h,,2022-09-25 08:00:00,2022-09-26 08:00:00,0.5,,Yes,,,
TPHAIL220928_1,TPHAIL,rawWW,cpTP24h,,2022-09-27 08:00:00,2022-09-28 08:00:00,0.5,,Yes,,,
TPHAIL221005_1,TPHAIL,rawWW,grb,2022-10-05 08:00:00,,,0.5,,Yes,,,
TPHAIL221007_1,TPHAIL,rawWW,cpTP24h,,2022-10-06 08:00:00,2022-10-07 08:00:00,0.5,,Yes,,,
TPHAIL221011_1,TPHAIL,rawWW,cpTP24h,,2022-10-10 08:00:00,2022-10-11 08:00:00,0.5,,Yes,,,
TPHAIL221012_1,TPHAIL,rawWW,cpTP24h,,2022-10-11 08:00:00,2022-10-12 08:00:00,0.5,,Yes,,,
TPHAIL221014_1,TPHAIL,rawWW,cpTP24h,,2022-10-13 08:00:00,2022-10-14 08:00:00,0.5,,Yes,,,
TPHAIL221017_1,TPHAIL,rawWW,cpTP24h,,2022-10-16 08:00:00,2022-10-17 08:00:00,0.5,,Yes,,,
TPHAIL221019_1,TPHAIL,rawWW,cpTP24h,,2022-10-18 08:00:00,2022-10-19 08:00:00,0.5,,Yes,,,
