uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes
TPHAIL220930_1wwFlow,TPHAIL,TPHAIL220930_1,Jknockleby,2022-09-30 08:00:00,wwFlow,,,,,,1200.0,m3/d,
TPHAIL220829_1wwFlow,TPHAIL,TPHAIL220829_1,Jknockleby,2022-08-29 08:00:00,wwFlow,,,,,,1050.0,m3/d,
TPHAIL220829_2wwFlow,TPHAIL,TPHAIL220829_2,Jknockleby,2022-08-29 08:00:00,wwFlow,,,,,,1050.0,m3/d,
TPHAIL220831_1wwFlow,TPHAIL,TPHAIL220831_1,Jknockleby,2022-08-31 08:00:00,wwFlow,,,,,,1123.0,m3/d,
TPHAIL220831_2wwFlow,TPHAIL,TPHAIL220831_2,Jknockleby,2022-08-31 08:00:00,wwFlow,,,,,,1123.0,m3/d,
TPHAIL220906_1wwFlow,TPHAIL,TPHAIL220906_1,Jknockleby,2022-09-06 08:00:00,wwFlow,,,,,,1200.0,m3/d,
TPHAIL220906_2wwFlow,TPHAIL,TPHAIL220906_2,Jknockleby,2022-09-07 08:00:00,wwFlow,,,,,,1200.0,m3/d,
TPHAIL220907_1wwFlow,TPHAIL,TPHAIL220907_1,Jknockleby,2022-09-08 08:00:00,wwFlow,,,,,,1200.0,m3/d,
TPHAIL220907_2wwFlow,TPHAIL,TPHAIL220907_2,Jknockleby,2022-09-08 08:00:00,wwFlow,,,,,,1200.0,m3/d,
TPHAIL220914_1wwFlow,TPHAIL,TPHAIL220914_1,Jknockleby,2022-09-14 08:00:00,wwFlow,,,,,,1150.0,m3/d,
TPHAIL220919_1wwFlow,TPHAIL,TPHAIL220919_1,Jknockleby,2022-09-19 08:00:00,wwFlow,,,,,,2300.0,m3/d,
TPHAIL220921_1wwFlow,TPHAIL,TPHAIL220921_1,Jknockleby,2022-09-21 08:00:00,wwFlow,,,,,,2000.0,m3/d,
TPHAIL220923_1wwFlow,TPHAIL,TPHAIL220923_1,Jknockleby,2022-09-23 08:00:00,wwFlow,,,,,,1200.0,m3/d,
TPHAIL220923_2wwFlow,TPHAIL,TPHAIL220923_2,Jknockleby,2022-09-23 08:00:00,wwFlow,,,,,,1200.0,m3/d,
TPHAIL220926_1wwFlow,TPHAIL,TPHAIL220926_1,Jknockleby,2022-09-26 08:00:00,wwFlow,,,,,,1200.0,m3/d,
TPHAIL220928_1wwFlow,TPHAIL,TPHAIL220928_1,Jknockleby,2022-09-28 08:00:00,wwFlow,,,,,,1200.0,m3/d,
