uWwMeasureID,sampleID,labID,assayMethodID,instrumentID,reporterID,analysisDate,reportDate,fractionAnalyzed,type,typeOther,unit,unitOther,index,value,qualityFlag,CF,ESV,notes
2_TKAP210720_1_covN1_1_2021-07-22,TKAP210720_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN1,,gcL,,1,0.0,,,,
3_TKAP210720_1_covN1_2_2021-07-22,TKAP210720_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN1,,gcL,,2,0.0,,,,
4_TKAP210720_1_covN1_3_2021-07-22,TKAP210720_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN1,,gcL,,3,0.0,,,,
5_TKAP210720_1_covN2_1_2021-07-22,TKAP210720_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN2,,gcL,,1,0.0,,,,
6_TKAP210720_1_covN2_2_2021-07-22,TKAP210720_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN2,,gcL,,2,0.0,,,,
7_TKAP210720_1_covN2_3_2021-07-22,TKAP210720_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN2,,gcL,,3,0.0,,,,
8_TKAP210720_1_nPMMoV_1_2021-07-22,TKAP210720_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,nPMMoV,,gcL,,1,50606068.4740013,,,,
9_TKAP210720_1_nPMMoV_2_2021-07-22,TKAP210720_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,nPMMoV,,gcL,,2,40977465.7650808,,,,
10_TKAP210720_1_nPMMoV_3_2021-07-22,TKAP210720_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,nPMMoV,,gcL,,3,40731225.2904352,,,,
11_TKAP210720_2_covN1_1_2021-07-22,TKAP210720_2,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN1,,gcL,,1,0.0,,,,
12_TKAP210720_2_covN1_2_2021-07-22,TKAP210720_2,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN1,,gcL,,2,0.0,,,,
13_TKAP210720_2_covN1_3_2021-07-22,TKAP210720_2,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN1,,gcL,,3,0.0,,,,
14_TKAP210720_2_covN2_1_2021-07-22,TKAP210720_2,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN2,,gcL,,1,0.0,,,,
15_TKAP210720_2_covN2_2_2021-07-22,TKAP210720_2,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN2,,gcL,,2,0.0,,,,
16_TKAP210720_2_covN2_3_2021-07-22,TKAP210720_2,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN2,,gcL,,3,0.0,,,,
17_TKAP210720_2_nPMMoV_1_2021-07-22,TKAP210720_2,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,nPMMoV,,gcL,,1,41617946.72167,,,,
18_TKAP210720_2_nPMMoV_2_2021-07-22,TKAP210720_2,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,nPMMoV,,gcL,,2,58181922.7801573,,,,
19_TKAP210720_2_nPMMoV_3_2021-07-22,TKAP210720_2,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,nPMMoV,,gcL,,3,46210602.1610982,,,,
20_TKAP210720_3_covN1_1_2021-07-22,TKAP210720_3,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN1,,gcL,,1,0.0,,,,
21_TKAP210720_3_covN1_2_2021-07-22,TKAP210720_3,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN1,,gcL,,2,0.0,,,,
22_TKAP210720_3_covN1_3_2021-07-22,TKAP210720_3,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN1,,gcL,,3,0.0,,,,
23_TKAP210720_3_covN2_1_2021-07-22,TKAP210720_3,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN2,,gcL,,1,0.0,,,,
24_TKAP210720_3_covN2_2_2021-07-22,TKAP210720_3,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN2,,gcL,,2,0.0,,,,
25_TKAP210720_3_covN2_3_2021-07-22,TKAP210720_3,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,covN2,,gcL,,3,0.0,,,,
26_TKAP210720_3_nPMMoV_1_2021-07-22,TKAP210720_3,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,nPMMoV,,gcL,,1,66252982.0362615,,,,
27_TKAP210720_3_nPMMoV_2_2021-07-22,TKAP210720_3,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,nPMMoV,,gcL,,2,77130777.3670667,,,,
28_TKAP210720_3_nPMMoV_3_2021-07-22,TKAP210720_3,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,nPMMoV,,gcL,,3,55011741.9339976,,,,
