sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
GWP_001,GWP,rawWW,cpTP24h,,2021-09-01 07:15:00,2021-09-02 07:15:00.000,10.8,4.0,Yes,
MSTP_001,MSTP,rawWW,cpTP24h,,2021-08-30 08:30:00,2021-08-31 08:29:59.995,14.4,4.0,Yes,
MSTP_002,MSTP,rawWW,cpTP24h,,2021-09-01 07:15:00,2021-09-02 07:15:00.000,14.4,4.0,Yes,
SWP_001,SWP,rawWW,cpTP24h,,2021-08-29 11:00:00,2021-08-30 11:00:00.000,18.0,4.0,Yes,
SWP_002,SWP,rawWW,cpTP24h,,2021-08-31 08:00:00,2021-09-01 08:00:00.000,18.0,4.0,Yes,
SWP_010,SWP,rawWW,cpTP24h,,2021-09-21 07:00:00,2021-09-22 07:00:00.000,8.0,11.1,Yes,
SWP_011,SWP,rawWW,cpTP24h,,2021-09-23 07:00:00,2021-09-24 07:00:00.000,8.0,9.8,Yes,
KLW_009,KLW,rawWW,cpTP24h,,2021-09-27 08:00:00,2021-09-28 07:00:00.000,,,Yes,
MSTP_009,MSTP,rawWW,cpTP24h,,2021-09-27 08:30:00,2021-09-28 08:30:00.000,14.0,,Yes,
SWP_012,SWP,rawWW,cpTP24h,,2021-09-26 07:00:00,2021-09-27 07:00:00.000,8.0,10.2,,
SWP_013,SWP,rawWW,cpTP24h,,2021-09-28 07:00:00,2021-09-29 07:00:00.000,8.0,10.2,Yes,
GWP_005,GWP,rawWW,cpTP24h,,2021-09-29 07:00:00,2021-09-30 07:00:00.000,11.0,,Yes,
SWP_014,SWP,rawWW,cpTP24h,,2021-09-30 07:00:00,2021-10-01 07:00:00.000,8.0,8.2,Yes,
MSTP_010,MSTP,rawWW,cpTP24h,,2021-10-04 08:30:00,2021-10-05 08:30:00.000,14.0,,,
MSTP_011,MSTP,rawWW,cpTP24h,,2021-09-30 00:00:00,2021-10-01 00:00:00.000,14.0,,Yes,
STW_001,STW,rawWW,cpTP24h,,2021-10-03 08:15:00,2021-10-04 08:15:00.000,,,Yes,
STW_002,STW,rawWW,cpTP24h,,2021-10-05 08:30:00,2021-10-06 08:30:00.000,,,Yes,
CWP_001,CWP,rawWW,cpTP24h,,2021-10-05 09:00:00,2021-10-06 07:30:00.000,2.4,,Yes,
SWP_015,SWP,rawWW,cpTP24h,,2021-10-03 07:00:00,2021-10-04 07:00:00.000,8.0,10.3,Yes,
SWP_016,SWP,rawWW,cpTP24h,,2021-10-04 07:00:00,2021-10-05 07:00:00.000,8.0,8.6,Yes,
MSTP_012,MSTP,rawWW,cpTP24h,,2021-10-06 08:30:00,2021-10-07 08:30:00.000,14.0,,Yes,
KLW_010,KLW,rawWW,cpTP24h,,2021-10-04 08:00:00,2021-10-05 07:00:00.000,,,Yes,
KLW_011,KLW,rawWW,cpTP24h,,2021-10-06 08:00:00,2021-10-07 07:00:00.000,,,Yes,
GWP_006,GWP,rawWW,cpTP24h,,2021-10-06 07:00:00,2021-10-07 07:00:00.000,11.0,,Yes,
BFW_001,BFW,rawWW,cpTP24h,,2021-10-06 09:00:00,2021-10-07 09:00:00.000,9.6,,Yes,
