siteID,name,description,type,typeOther,healthRegion,publicHealthDepartment,geoLat,geoLong,notes
GWP,Goderich Water Pollution,,wwtpMuC,,South West,Huron Perth Health Unit,43.7310137454208,-81.7217949018176,
KLW,Kawartha Lakes Lindsay,,wwtpMuC,,Central East,"Haliburton, Kawartha, Pine Ridge District Health Unit",,,
MSTP,Minden Sewage Treatment Plant,,wwtpMuC,,Central East,"Haliburton, Kawartha, Pine Ridge District Health Unit",,,
SWP,Stratford Water Pollution,,wwtpMuC,,South West,Huron Perth Health Unit,43.36908,-81.00458,
STW,St. Thomas Water Pollution Control Plant,,wwtpMuC,,South West,Southwestern Public Health,42.77065,-81.2077,
CWP,Craigleith Water Pollution Control Plant,,wwtpMuC,,South West,Grey Bruce Health Unit, 44.526856,-80.293201,
BFW,Brantford Water Pollution Control Plant,,wwtpMuC,,Hamilton Niagara Haldimand Brant,Brant County Health Unit,43.128,-80.232,
OWSD,Owen Sound Wastewater Treatment Plant,,wwtpMuC,,South West,Grey Bruce Health Unit,44.5846,-80.9322,
MUC1,McMaster University Campus 1 (North Campus),,uCampus,,Hamilton Niagara Haldimand Brant,City of Hamilton Public Health Services,43.26306,-79.91583,
MUC2,McMaster University Campus 2 (Les Prince),,uCampus,,Hamilton Niagara Haldimand Brant,City of Hamilton Public Health Services,43.26722,-79.91722,
MUC3,McMaster University Campus 3 (West Campus),,uCampus,,Hamilton Niagara Haldimand Brant,City of Hamilton Public Health Services,43.2625,-79.92111,
CBW,Coburg Wastewater Treatment Plant,,wwtpMuC,,Central East,"Haliburton, Kawartha, Pine Ridge District Health Unit",43.960686,-78.1818,
GSM,Good Shepherd Mary St,,other,Shelter,Hamilton Niagara Haldimand Brant,City of Hamilton Public Health Services,,,
