uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes
Mac27,BFW,BFW_001,DB,2021-10-06 00:00:00,wwFlow,,,mean,,,37551.0,m3/d,
Mac35,BFW,BFW_003,DB,2021-10-12 00:00:00,wwFlow,,,mean,,,37698.0,m3/d,
Mac36,BFW,BFW_002,DB,2021-10-10 00:00:00,wwFlow,,,mean,,,40346.0,m3/d,
Mac120,BFW,BFW_004,DB,2021-10-14 00:00:00,wwFlow,,,mean,,,36209.0,m3/d,
Mac126,BFW,BFW_005,DB,2021-10-17 00:00:00,wwFlow,,,mean,,,38896.0,m3/d,
Mac127,BFW,BFW_006,DB,2021-10-19 00:00:00,wwFlow,,,mean,,,36085.0,m3/d,
Mac137,CBW,CBW_001,DB,2021-10-19 07:16:00,wwFlow,,,mean,,,6866.0,m3/d,
Mac20,CWP,CWP_001,DB,2021-10-06 00:00:00,wwFlow,,,mean,,,2736.0,m3/d,
Mac30,CWP,CWP_002,DB,2021-10-13 00:00:00,wwFlow,,,mean,,,2489.0,m3/d,
Mac134,CWP,CWP_003,DB,2021-10-20 00:00:00,wwFlow,,,mean,,,2593.0,m3/d,
Mac1,GWP,GWP_001,DB,2021-09-01 00:00:00,wwFlow,,,mean,,,3055.0,m3/d,
Mac14,GWP,GWP_005,DB,2021-09-29 00:00:00,wwFlow,,,mean,,,6631.0,m3/d,
Mac26,GWP,GWP_006,DB,2021-10-06 00:00:00,wwFlow,,,mean,,,5422.0,m3/d,
Mac39,GWP,GWP_007,DB,2021-10-13 00:00:00,wwFlow,,,mean,,,5169.0,m3/d,
Mac88,GWP,GWP_002,DB,2021-09-08 00:00:00,wwFlow,,,mean,,,4104.0,m3/d,
Mac102,GWP,GWP_003,DB,2021-09-15 00:00:00,wwFlow,,,mean,,,6070.0,m3/d,
Mac117,GWP,GWP_004,DB,2021-09-22 00:00:00,wwFlow,,,mean,,,18989.0,m3/d,
Mac138,GWP,GWP_008,DB,2021-10-20 00:00:00,wwFlow,,,mean,,,6302.0,m3/d,
Mac2,KLW,KLL_001,DB,2021-08-30 00:00:00,wwFlow,,,mean,,,9253.0364,m3/d,
Mac3,KLW,KLL_002,DB,2021-09-02 00:00:00,wwFlow,,,mean,,,8749.18,m3/d,
Mac10,KLW,KLW_009,DB,2021-09-28 00:00:00,wwFlow,,,mean,,,13701.836,m3/d,
Mac89,KLW,KLL_003,DB,2021-09-07 00:00:00,wwFlow,,,mean,,,8683.4637,m3/d,
Mac90,KLW,KLL_004,DB,2021-09-09 00:00:00,wwFlow,,,mean,,,12699.467,m3/d,
Mac105,KLW,KLL_005,DB,2021-09-14 00:00:00,wwFlow,,,mean,,,9970.7495,m3/d,
Mac106,KLW,KLL_006,DB,2021-09-16 00:00:00,wwFlow,,,mean,,,10163.6,m3/d,
Mac114,KLW,KLL_007,DB,2021-09-21 00:00:00,wwFlow,,,mean,,,6568.2,m3/d,
Mac115,KLW,KLL_008,DB,2021-09-23 00:00:00,wwFlow,,,mean,,,10535.2,m3/d,
Mac146,KLW,KL20210823,DB,2021-08-23 00:00:00,wwFlow,,,mean,,,8982.7,m3/d,
Mac150,KLW,KLL210818,DB,2021-08-18 00:00:00,wwFlow,,,mean,,,9185.6,m3/d,
Mac154,KLW,KLL210816,DB,2021-08-16 00:00:00,wwFlow,,,mean,,,9222.3,m3/d,
Mac4,MSTP,MSTP_001,DB,2021-08-30 00:00:00,wwFlow,,,mean,,,395.0,m3/d,
Mac5,MSTP,MSTP_002,DB,2021-09-01 00:00:00,wwFlow,,,mean,,,364.0,m3/d,
Mac143,MSTP,MH20210825,DB,2021-08-25 00:00:00,wwFlow,,,mean,,,382.0,m3/d,
Mac145,MSTP,MH20210823,DB,2021-08-23 00:00:00,wwFlow,,,mean,,,390.0,m3/d,
Mac149,MSTP,MSTP210818,DB,2021-08-18 00:00:00,wwFlow,,,mean,,,409.0,m3/d,
Mac153,MSTP,MSTP210816,DB,2021-08-16 00:00:00,wwFlow,,,mean,,,406.0,m3/d,
Mac32,OWSD,OWSD_001,DB,2021-10-12 00:00:00,wwFlow,,,mean,,,13896.0,m3/d,
Mac135,OWSD,OWSD_002,DB,2021-10-17 00:00:00,wwFlow,,,mean,,,30081.0,m3/d,
Mac136,OWSD,OWSD_003,DB,2021-10-19 00:00:00,wwFlow,,,mean,,,17274.0,m3/d,
Mac155,STW,STW_001,DB,2021-10-03 00:00:00,wwFlow,,,mean,,,61114.0,m3/d,
Mac156,STW,STW_002,DB,2021-10-05 00:00:00,wwFlow,,,mean,,,42501.0,m3/d,
Mac157,STW,STW_003,DB,2021-10-07 00:00:00,wwFlow,,,mean,,,53717.0,m3/d,
Mac158,STW,STW_004,DB,2021-10-12 00:00:00,wwFlow,,,mean,,,41220.0,m3/d,
Mac159,STW,STW_005,DB,2021-10-14 00:00:00,wwFlow,,,mean,,,45597.0,m3/d,
Mac160,STW,STW_006,DB,2021-10-17 00:00:00,wwFlow,,,mean,,,60014.0,m3/d,
Mac161,STW,STW_007,DB,2021-10-19 00:00:00,wwFlow,,,mean,,,43672.0,m3/d,
Mac162,STW,STW_008,DB,2021-10-21 00:00:00,wwFlow,,,mean,,,46453.0,m3/d,
Mac163,STW,STW_009,DB,2021-10-24 00:00:00,wwFlow,,,mean,,,54075.0,m3/d,
Mac164,STW,STW_010,DB,2021-10-26 00:00:00,wwFlow,,,mean,,,62044.0,m3/d,
Mac165,STW,STW_011,DB,2021-10-28 00:00:00,wwFlow,,,mean,,,51117.0,m3/d,
Mac166,STW,STW_012,DB,2021-11-01 00:00:00,wwFlow,,,mean,,,49754.0,m3/d,
Mac167,STW,STW_013,DB,2021-11-02 00:00:00,wwFlow,,,mean,,,44365.0,m3/d,
Mac168,STW,STW_014,DB,2021-11-04 00:00:00,wwFlow,,,mean,,,38179.0,m3/d,
Mac169,OWSD,OWSD_004,DB,2021-10-24 00:00:00,wwFlow,,,mean,,,10858.0,m3/d,
Mac170,OWSD,OWSD_005,DB,2021-10-26 00:00:00,wwFlow,,,mean,,,15673.0,m3/d,
Mac171,OWSD,OWSD_006,DB,2021-10-28 00:00:00,wwFlow,,,mean,,,12209.0,m3/d,
Mac172,OWSD,OWSD_007,DB,2021-10-31 00:00:00,wwFlow,,,mean,,,11199.0,m3/d,
Mac173,OWSD,OWSD_008,DB,2021-11-02 00:00:00,wwFlow,,,mean,,,20657.0,m3/d,
Mac174,OWSD,OWSD_009,DB,2021-11-04 00:00:00,wwFlow,,,mean,,,16978.0,m3/d,
Mac175,OWSD,OWSD_010,DB,2021-11-07 00:00:00,wwFlow,,,mean,,,12311.0,m3/d,
Mac177,BFW,BFW_007,DB,2021-10-21 00:00:00,wwFlow,,,mean,,,36215.0,m3/d,
Mac178,BFW,BFW_008,DB,2021-10-23 00:00:00,wwFlow,,,mean,,,35868.0,m3/d,
Mac179,BFW,BFW_009,DB,2021-10-25 00:00:00,wwFlow,,,mean,,,37701.0,m3/d,
Mac180,BFW,BFW_010,DB,2021-10-27 00:00:00,wwFlow,,,mean,,,32859.0,m3/d,
Mac181,BFW,BFW_011,DB,2021-10-31 00:00:00,wwFlow,,,mean,,,39586.0,m3/d,
Mac182,BFW,BFW_012,DB,2021-11-02 00:00:00,wwFlow,,,mean,,,36726.0,m3/d,
Mac183,CBW,CBW_002,DB,2021-10-21 07:14:00,wwFlow,,,mean,,,7355.0,m3/d,
Mac184,CBW,CBW_003,DB,2021-10-24 07:00:00,wwFlow,,,mean,,,6732.0,m3/d,
Mac185,CBW,CBW_004,DB,2021-10-26 07:25:00,wwFlow,,,mean,,,9713.0,m3/d,
Mac186,CBW,CBW_005,DB,2021-10-28 07:17:00,wwFlow,,,mean,,,8379.0,m3/d,
Mac187,OWSD,OWSD_011,DB,2021-11-09 00:00:00,wwFlow,,,mean,,,11128.0,m3/d,
Mac188,OWSD,OWSD_012,DB,2021-11-10 00:00:00,wwFlow,,,mean,,,10689.0,m3/d,
Mac189,OWSD,OWSD_013,DB,2021-11-14 00:00:00,wwFlow,,,mean,,,17362.0,m3/d,
Mac190,MSTP,MSTP_003,DB,2021-09-07 00:00:00,wwFlow,,,mean,,,385.0,m3/d,
Mac191,MSTP,MSTP_004,DB,2021-09-09 00:00:00,wwFlow,,,mean,,,443.0,m3/d,
Mac192,MSTP,MSTP_005,DB,2021-09-12 00:00:00,wwFlow,,,mean,,,426.0,m3/d,
Mac193,MSTP,MSTP_006,DB,2021-09-15 00:00:00,wwFlow,,,mean,,,399.0,m3/d,
Mac194,MSTP,MSTP_007,DB,2021-09-20 00:00:00,wwFlow,,,mean,,,398.0,m3/d,
Mac195,MSTP,MSTP_008,DB,2021-09-22 00:00:00,wwFlow,,,mean,,,671.0,m3/d,
Mac196,MSTP,MSTP_009,DB,2021-09-27 00:00:00,wwFlow,,,mean,,,683.0,m3/d,
Mac197,MSTP,MSTP_010,DB,2021-10-04 00:00:00,wwFlow,,,mean,,,521.0,m3/d,
Mac198,MSTP,MSTP_011,DB,2021-09-30 00:00:00,wwFlow,,,mean,,,563.0,m3/d,
Mac199,MSTP,MSTP_012,DB,2021-10-06 00:00:00,wwFlow,,,mean,,,507.0,m3/d,
Mac200,MSTP,MSTP_013,DB,2021-10-12 00:00:00,wwFlow,,,mean,,,471.0,m3/d,
Mac201,BFW,BFW_013,DB,2021-11-04 00:00:00,wwFlow,,,mean,,,38816.0,m3/d,
Mac202,BFW,BFW_014,DB,2021-11-07 00:00:00,wwFlow,,,mean,,,37956.0,m3/d,
Mac203,BFW,BFW_015,DB,2021-11-09 00:00:00,wwFlow,,,mean,,,32791.0,m3/d,
Mac204,BFW,BFW_016,DB,2021-11-11 00:00:00,wwFlow,,,mean,,,33992.0,m3/d,
Mac205,BFW,BFW_017,DB,2021-11-14 00:00:00,wwFlow,,,mean,,,35881.0,m3/d,
Mac206,BFW,BFW_018,DB,2021-11-16 00:00:00,wwFlow,,,mean,,,31230.0,m3/d,
Mac207,CWP,CWP_197,DB,2023-02-28 00:00:00,wwFlow,,,mean,,,3278.0,m3/d,
Mac208,CWP,CWP_198,DB,2023-03-02 00:00:00,wwFlow,,,mean,,,3298.0,m3/d,
Mac209,CWP,CWP_200,DB,2023-03-07 00:00:00,wwFlow,,,mean,,,3516.0,m3/d,
