uWwMeasureID,sampleID,labID,assayMethodID,instrumentID,reporterID,analysisDate,reportDate,fractionAnalyzed,type,typeOther,unit,unitOther,index,value,qualityFlag,CF,ESV,notes
2_GWP_001_covN1_1_1_2021-09-03,GWP_001,MacRSJH,N1,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covN1,,gcMl,,1_1,0.0,,114.28571428571428,2.2857142857142856,
3_GWP_001_covN1_1_2_2021-09-03,GWP_001,MacRSJH,N1,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covN1,,gcMl,,1_2,0.0,,114.28571428571428,2.2857142857142856,
4_GWP_001_covE_1_1_2021-09-03,GWP_001,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covE,,gcMl,,1_1,0.0,,114.28571428571428,2.2857142857142856,
5_GWP_001_covE_1_2_2021-09-03,GWP_001,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covE,,gcMl,,1_2,0.0,,114.28571428571428,2.2857142857142856,
6_GWP_001_nPMMoV_1_1_2021-09-03,GWP_001,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,nPMMoV,,gcMl,,1_1,1533.1480433871131,,114.28571428571428,2.2857142857142856,
7_GWP_001_nPMMoV_1_2_2021-09-03,GWP_001,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,nPMMoV,,gcMl,,1_2,1477.8280824687713,,114.28571428571428,2.2857142857142856,
8_KLL_001_covN1_2_1_2021-09-03,KLL_001,MacRSJH,N1,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covN1,,gcMl,,2_1,1.1725954295295846,,114.28571428571428,2.2857142857142856,
9_KLL_001_covN1_2_2_2021-09-03,KLL_001,MacRSJH,N1,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covN1,,gcMl,,2_2,0.919154319223652,,114.28571428571428,2.2857142857142856,
10_KLL_001_covE_2_1_2021-09-03,KLL_001,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covE,,gcMl,,2_1,2.7305351408202747,,114.28571428571428,2.2857142857142856,
11_KLL_001_covE_2_2_2021-09-03,KLL_001,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covE,,gcMl,,2_2,3.4201652195339656,,114.28571428571428,2.2857142857142856,
12_KLL_001_nPMMoV_2_1_2021-09-03,KLL_001,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,nPMMoV,,gcMl,,2_1,1423.0381863199252,,114.28571428571428,2.2857142857142856,
13_KLL_001_nPMMoV_2_2_2021-09-03,KLL_001,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,nPMMoV,,gcMl,,2_2,1497.5700912598302,,114.28571428571428,2.2857142857142856,
