sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
A02.18.3.21,Corbett,rawWW,cpTP24h,,2021-03-17,2021-03-18,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
B03.18.3.21,Harmony,rawWW,cpTP24h,,2021-03-17,2021-03-18,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
C04.18.3.21,Courtice,rawWW,cpTP24h,,2021-03-17,2021-03-18,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
D05.18.3.21,Darlington,rawWW,cpTP24h,,2021-03-17,2021-03-18,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
E06.18.3.21,Newcastle,rawWW,cpTP24h,,2021-03-17,2021-03-18,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
F07.18.3.21,Ajax,rawWW,cpTP24h,,2021-03-18,2021-03-19,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
G08.18.3.21,Pickering,rawWW,cpTP24h,,2021-03-18,2021-03-19,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
S1.18.3.21,Barrie,rawWW,cpTP24h,,2021-03-17,2021-03-18,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
S3.19.3.21,Midland,rawWW,cpTP24h,,2021-03-18,2021-03-19,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
S4.19.3.21,Orillia,rawWW,cpTP24h,,2021-03-18,2021-03-19,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
A02.21.3.21,Corbett,rawWW,cpTP24h,,2021-03-20,2021-03-21,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
B03.21.3.21,Harmony,rawWW,cpTP24h,,2021-03-20,2021-03-21,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
C04.21.3.21,Courtice,rawWW,cpTP24h,,2021-03-20,2021-03-21,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
D05.21.3.21,Darlington,rawWW,cpTP24h,,2021-03-20,2021-03-21,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
E06.21.3.21,Newcastle,rawWW,cpTP24h,,2021-03-20,2021-03-21,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
F07.21.3.21,Ajax,rawWW,cpTP24h,,2021-03-21,2021-03-22,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
G08.21.3.21,Pickering,rawWW,cpTP24h,,2021-03-21,2021-03-22,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
S1.21.3.21,Barrie,rawWW,cpTP24h,,2021-03-20,2021-03-21,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
S3.22.3.21,Midland,rawWW,cpTP24h,,2021-03-21,2021-03-22,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
S4.23.3.21,Orillia,rawWW,cpTP24h,,2021-03-22,2021-03-23,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
A02.23.3.21,Corbett,rawWW,cpTP24h,,2021-03-22,2021-03-23,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
B03.23.3.21,Harmony,rawWW,cpTP24h,,2021-03-22,2021-03-23,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
C04.23.3.21,Courtice,rawWW,cpTP24h,,2021-03-22,2021-03-23,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
D05.23.3.21,Darlington,rawWW,cpTP24h,,2021-03-22,2021-03-23,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
E06.23.3.21,Newcastle,rawWW,cpTP24h,,2021-03-22,2021-03-23,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
F07.23.3.21,Ajax,rawWW,cpTP24h,,2021-03-23,2021-03-24,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
G08.23.3.21,Pickering,rawWW,cpTP24h,,2021-03-23,2021-03-24,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
S1.23.3.21,Barrie,rawWW,cpTP24h,,2021-03-22,2021-03-23,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
S2.23.3.21,Collingwood,rawWW,cpTP24h,,2021-03-22,2021-03-23,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
S3.24.3.21,Midland,rawWW,cpTP24h,,2021-03-23,2021-03-24,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
S4.24.3.21,Orillia,rawWW,cpTP24h,,2021-03-23,2021-03-24,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
A02.25.3.21,Corbett,rawWW,cpTP24h,,2021-03-24,2021-03-25,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
B03.25.3.21,Harmony,rawWW,cpTP24h,,2021-03-24,2021-03-25,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
C04.25.3.21,Courtice,rawWW,cpTP24h,,2021-03-24,2021-03-25,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
D05.25.3.21,Darlington,rawWW,cpTP24h,,2021-03-24,2021-03-25,0.5,4.0,Yes,Samples shipped on ice from site to lab by courier
