uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes
S1.5.9.21.Barrie,Barrie,S1.5.9.21,Islam G,2021-09-05,wwFlow,,,single,,,56637,m3/d,
S1.7.9.21.Barrie,Barrie,S1.7.9.21,Islam G,2021-09-07,wwFlow,,,single,,,59260,m3/d,
S1.9.9.21.Barrie,Barrie,S1.9.9.21,Islam G,2021-09-09,wwFlow,,,single,,,57991,m3/d,
S1.12.9.21.Barrie,Barrie,S1.12.9.21,Islam G,2021-09-12,wwFlow,,,single,,,59023,m3/d,
S1.14.9.21.Barrie,Barrie,S1.14.9.21,Islam G,2021-09-14,wwFlow,,,single,,,56434,m3/d,
S1.16.9.21.Barrie,Barrie,S1.16.9.21,Islam G,2021-09-16,wwFlow,,,single,,,58650,m3/d,
S1.21.9.21.Barrie,Barrie,S1.21.9.21,Islam G,2021-09-21,wwFlow,,,single,,,56897,m3/d,
S1.23.9.21.Barrie,Barrie,S1.23.9.21,Islam G,2021-09-23,wwFlow,,,single,,,79010,m3/d,
S1.26.9.21.Barrie,Barrie,S1.26.9.21,Islam G,2021-09-26,wwFlow,,,single,,,63443,m3/d,
S1.28.9.21.Barrie,Barrie,S1.28.9.21,Islam G,2021-09-28,wwFlow,,,single,,,56451,m3/d,
S1.30.9.21.Barrie,Barrie,S1.30.9.21,Islam G,2021-09-30,wwFlow,,,single,,,55528,m3/d,
S1.3.10.21.Barrie,Barrie,S1.3.10.21,Islam G,2021-10-03,wwFlow,,,single,,,56451,m3/d,
S1.5.10.21.Barrie,Barrie,S1.5.10.21,Islam G,2021-10-05,wwFlow,,,single,,,54513,m3/d,
S1.7.10.21.Barrie,Barrie,S1.7.10.21,Islam G,2021-10-07,wwFlow,,,single,,,53695,m3/d,
S1.10.10.21.Barrie,Barrie,S1.10.10.21,Islam G,2021-10-10,wwFlow,,,single,,,57434,m3/d,
S1.12.10.21.Barrie,Barrie,S1.12.10.21,Islam G,2021-10-12,wwFlow,,,single,,,58853,m3/d,
S1.14.10.21.Barrie,Barrie,S1.14.10.21,Islam G,2021-10-14,wwFlow,,,single,,,55255,m3/d,
S1.17.10.21.Barrie,Barrie,S1.17.10.21,Islam G,2021-10-17,wwFlow,,,single,,,58983,m3/d,
S1.19.10.21.Barrie,Barrie,S1.19.10.21,Islam G,2021-10-19,wwFlow,,,single,,,56538,m3/d,
S1.21.10.21.Barrie,Barrie,S1.21.10.21,Islam G,2021-10-21,wwFlow,,,single,,,52928,m3/d,
A02.14.10.21.Corbett,Corbett,A02.14.10.21,Islam G,2021-10-14,wwFlow,,,mean,,,2107,m3/h,
C04.10.10.21.Courtice,Courtice,C04.10.10.21,Islam G,2021-10-10,wwFlow,,,mean,,,1585,m3/h,
C04.12.10.21.Courtice,Courtice,C04.12.10.21,Islam G,2021-10-12,wwFlow,,,mean,,,1514,m3/h,
C04.14.10.21.Courtice,Courtice,C04.14.10.21,Islam G,2021-10-14,wwFlow,,,mean,,,1497,m3/h,
D05.10.10.21.Darlington,Darlington,D05.10.10.21,Islam G,2021-10-10,wwFlow,,,mean,,,525,m3/h,
D05.12.10.21.Darlington,Darlington,D05.12.10.21,Islam G,2021-10-12,wwFlow,,,mean,,,497,m3/h,
D05.14.10.21.Darlington,Darlington,D05.14.10.21,Islam G,2021-10-14,wwFlow,,,mean,,,495,m3/h,
E06.10.10.21.Newcastle,Newcastle,E06.10.10.21,Islam G,2021-10-10,wwFlow,,,mean,,,132,m3/h,
E06.12.10.21.Newcastle,Newcastle,E06.12.10.21,Islam G,2021-10-12,wwFlow,,,mean,,,123,m3/h,
E06.14.10.21.Newcastle,Newcastle,E06.14.10.21,Islam G,2021-10-14,wwFlow,,,mean,,,119,m3/h,
G08.12.10.21.Pickering,Pickering,G08.12.10.21,Islam G,2021-10-12,wwFlow,,,mean,,,813,m3/h,
B03.19.10.21.Harmony,Harmony,B03.19.10.21,Islam G,2021-10-19,wwFlow,,,mean,,,751,m3/h,
B03.21.10.21.Harmony,Harmony,B03.21.10.21,Islam G,2021-10-21,wwFlow,,,mean,,,743,m3/h,
A02.17.10.21.Corbett,Corbett,A02.17.10.21,Islam G,2021-10-17,wwFlow,,,mean,,,2292,m3/h,
A02.19.10.21.Corbett,Corbett,A02.19.10.21,Islam G,2021-10-19,wwFlow,,,mean,,,2056,m3/h,
A02.21.10.21.Corbett,Corbett,A02.21.10.21,Islam G,2021-10-21,wwFlow,,,mean,,,2120,m3/h,
C04.17.10.21.Courtice,Courtice,C04.17.10.21,Islam G,2021-10-17,wwFlow,,,mean,,,2092,m3/h,
C04.19.10.21.Courtice,Courtice,C04.19.10.21,Islam G,2021-10-19,wwFlow,,,mean,,,1636,m3/h,
