sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes
O_0130,Ottawa WWTP,pSludge,cpTP24h,2021-01-01 00:00:00,2020-12-31 00:00:00,2021-01-01 00:00:00,0.5,,Yes,,,
O_0131,Ottawa WWTP,pSludge,cpTP24h,2021-01-02 00:00:00,2021-01-01 00:00:00,2021-01-02 00:00:00,0.5,,Yes,,,
O_0132,Ottawa WWTP,pSludge,cpTP24h,2021-01-03 00:00:00,2021-01-02 00:00:00,2021-01-03 00:00:00,0.5,,Yes,,,
O_0133,Ottawa WWTP,pSludge,cpTP24h,2021-01-04 00:00:00,2021-01-03 00:00:00,2021-01-04 00:00:00,0.5,,Yes,,,
O_0134,Ottawa WWTP,pSludge,cpTP24h,2021-01-05 00:00:00,2021-01-04 00:00:00,2021-01-05 00:00:00,0.5,,Yes,,,
O_0135,Ottawa WWTP,pSludge,cpTP24h,2021-01-06 00:00:00,2021-01-05 00:00:00,2021-01-06 00:00:00,0.5,,Yes,,,
O_0136,Ottawa WWTP,pSludge,cpTP24h,2021-01-07 00:00:00,2021-01-06 00:00:00,2021-01-07 00:00:00,0.5,,Yes,,,
O_0137,Ottawa WWTP,pSludge,cpTP24h,2021-01-08 00:00:00,2021-01-07 00:00:00,2021-01-08 00:00:00,0.5,,Yes,,,
O_0138,Ottawa WWTP,pSludge,cpTP24h,2021-01-09 00:00:00,2021-01-08 00:00:00,2021-01-09 00:00:00,0.5,,Yes,,,
O_0139,Ottawa WWTP,pSludge,cpTP24h,2021-01-10 00:00:00,2021-01-09 00:00:00,2021-01-10 00:00:00,0.5,,Yes,,,
O_0140,Ottawa WWTP,pSludge,cpTP24h,2021-01-11 00:00:00,2021-01-10 00:00:00,2021-01-11 00:00:00,0.5,,Yes,,,
O_0141,Ottawa WWTP,pSludge,cpTP24h,2021-01-12 00:00:00,2021-01-11 00:00:00,2021-01-12 00:00:00,0.5,,Yes,,,
O_0142,Ottawa WWTP,pSludge,cpTP24h,2021-01-13 00:00:00,2021-01-12 00:00:00,2021-01-13 00:00:00,0.5,,Yes,,,
O_0143,Ottawa WWTP,pSludge,cpTP24h,2021-01-14 00:00:00,2021-01-13 00:00:00,2021-01-14 00:00:00,0.5,,Yes,,,
O_0144,Ottawa WWTP,pSludge,cpTP24h,2021-01-15 00:00:00,2021-01-14 00:00:00,2021-01-15 00:00:00,0.5,,Yes,,,
O_0145,Ottawa WWTP,pSludge,cpTP24h,2021-01-16 00:00:00,2021-01-15 00:00:00,2021-01-16 00:00:00,0.5,,Yes,,,
O_0146,Ottawa WWTP,pSludge,cpTP24h,2021-01-17 00:00:00,2021-01-16 00:00:00,2021-01-17 00:00:00,0.5,,Yes,,,
O_0147,Ottawa WWTP,pSludge,cpTP24h,2021-01-18 00:00:00,2021-01-17 00:00:00,2021-01-18 00:00:00,0.5,,Yes,,,
O_0148,Ottawa WWTP,pSludge,cpTP24h,2021-01-19 00:00:00,2021-01-18 00:00:00,2021-01-19 00:00:00,0.5,,Yes,,,
O_0149,Ottawa WWTP,pSludge,cpTP24h,2021-01-20 00:00:00,2021-01-19 00:00:00,2021-01-20 00:00:00,0.5,,Yes,,,
O_0150,Ottawa WWTP,pSludge,cpTP24h,2021-01-21 00:00:00,2021-01-20 00:00:00,2021-01-21 00:00:00,0.5,,Yes,,,
O_0151,Ottawa WWTP,pSludge,cpTP24h,2021-01-22 00:00:00,2021-01-21 00:00:00,2021-01-22 00:00:00,0.5,,Yes,,,
O_0152,Ottawa WWTP,pSludge,cpTP24h,2021-01-23 00:00:00,2021-01-22 00:00:00,2021-01-23 00:00:00,0.5,,Yes,,,
O_0153,Ottawa WWTP,pSludge,cpTP24h,2021-01-24 00:00:00,2021-01-23 00:00:00,2021-01-24 00:00:00,0.5,,Yes,,,
O_0154,Ottawa WWTP,pSludge,cpTP24h,2021-01-26 00:00:00,2021-01-25 00:00:00,2021-01-26 00:00:00,0.5,,Yes,,,
O_0155,Ottawa WWTP,pSludge,cpTP24h,2021-01-27 00:00:00,2021-01-26 00:00:00,2021-01-27 00:00:00,0.5,,Yes,,,
O_0156,Ottawa WWTP,pSludge,cpTP24h,2021-01-28 00:00:00,2021-01-27 00:00:00,2021-01-28 00:00:00,0.5,,Yes,,,
O_0157,Ottawa WWTP,pSludge,cpTP24h,2021-01-29 00:00:00,2021-01-28 00:00:00,2021-01-29 00:00:00,0.5,,Yes,,,
O_0158,Ottawa WWTP,pSludge,cpTP24h,2021-01-30 00:00:00,2021-01-29 00:00:00,2021-01-30 00:00:00,0.5,,Yes,,,
O_0159,Ottawa WWTP,pSludge,cpTP24h,2021-01-31 00:00:00,2021-01-30 00:00:00,2021-01-31 00:00:00,0.5,,Yes,,,
O_0160,Ottawa WWTP,pSludge,cpTP24h,2021-02-01 00:00:00,2021-01-31 00:00:00,2021-02-01 00:00:00,0.5,,Yes,,,
O_0161,Ottawa WWTP,pSludge,cpTP24h,2021-02-02 00:00:00,2021-02-01 00:00:00,2021-02-02 00:00:00,0.5,,Yes,,,
O_0162,Ottawa WWTP,pSludge,cpTP24h,2021-02-03 00:00:00,2021-02-02 00:00:00,2021-02-03 00:00:00,0.5,,Yes,,,
O_0163,Ottawa WWTP,pSludge,cpTP24h,2021-02-04 00:00:00,2021-02-03 00:00:00,2021-02-04 00:00:00,0.5,,Yes,,,
O_0164,Ottawa WWTP,pSludge,cpTP24h,2021-02-05 00:00:00,2021-02-04 00:00:00,2021-02-05 00:00:00,0.5,,Yes,,,
O_0165,Ottawa WWTP,pSludge,cpTP24h,2021-02-06 00:00:00,2021-02-05 00:00:00,2021-02-06 00:00:00,0.5,,Yes,,,
O_0166,Ottawa WWTP,pSludge,cpTP24h,2021-02-07 00:00:00,2021-02-06 00:00:00,2021-02-07 00:00:00,0.5,,Yes,,,
O_0167,Ottawa WWTP,pSludge,cpTP24h,2021-02-08 00:00:00,2021-02-07 00:00:00,2021-02-08 00:00:00,0.5,,Yes,,,
O_0168,Ottawa WWTP,pSludge,cpTP24h,2021-02-10 00:00:00,2021-02-09 00:00:00,2021-02-10 00:00:00,0.5,,Yes,,,
O_0169,Ottawa WWTP,pSludge,cpTP24h,2021-02-11 00:00:00,2021-02-10 00:00:00,2021-02-11 00:00:00,0.5,,Yes,,,
O_0170,Ottawa WWTP,pSludge,cpTP24h,2021-02-12 00:00:00,2021-02-11 00:00:00,2021-02-12 00:00:00,0.5,,Yes,,,
O_0171,Ottawa WWTP,pSludge,cpTP24h,2021-02-13 00:00:00,2021-02-12 00:00:00,2021-02-13 00:00:00,0.5,,Yes,,,
