uWwMeasureID,sampleID,labID,assayMethodID,instrumentID,reporterID,analysisDate,reportDate,fractionAnalyzed,type,typeOther,unit,unitOther,index,value,qualityFlag,CF,ESV,notes
2_O_0130_covN1_1_2021-01-01,O_0130,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-01 00:00:00,2021-01-01 00:00:00,solid,covN1,,gcL,,1,5077111.073223969,,,,
3_O_0130_covN1_2_2021-01-01,O_0130,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-01 00:00:00,2021-01-01 00:00:00,solid,covN1,,gcL,,2,,ND,,,well QA/QC failed
4_O_0130_covN1_3_2021-01-01,O_0130,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-01 00:00:00,2021-01-01 00:00:00,solid,covN1,,gcL,,3,4538833.705680326,,,,
5_O_0130_covN2_1_2021-01-01,O_0130,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-01 00:00:00,2021-01-01 00:00:00,solid,covN2,,gcL,,1,3383874.838918528,,,,
6_O_0130_covN2_2_2021-01-01,O_0130,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-01 00:00:00,2021-01-01 00:00:00,solid,covN2,,gcL,,2,3136983.506711249,,,,
7_O_0130_covN2_3_2021-01-01,O_0130,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-01 00:00:00,2021-01-01 00:00:00,solid,covN2,,gcL,,3,3451924.9996816306,,,,
8_O_0130_nPMMoV_1_2021-01-01,O_0130,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-01 00:00:00,2021-01-01 00:00:00,solid,nPMMoV,,gcL,,1,6485861727.307611,,,,
9_O_0131_covN1_1_2021-01-02,O_0131,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-02 00:00:00,2021-01-02 00:00:00,solid,covN1,,gcL,,1,4813355.374566155,,,,
10_O_0131_covN1_2_2021-01-02,O_0131,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-02 00:00:00,2021-01-02 00:00:00,solid,covN1,,gcL,,2,4843031.048617298,,,,
11_O_0131_covN1_3_2021-01-02,O_0131,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-02 00:00:00,2021-01-02 00:00:00,solid,covN1,,gcL,,3,4088409.9155302094,,,,
12_O_0131_covN2_1_2021-01-02,O_0131,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-02 00:00:00,2021-01-02 00:00:00,solid,covN2,,gcL,,1,3668360.909254238,,,,
13_O_0131_covN2_2_2021-01-02,O_0131,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-02 00:00:00,2021-01-02 00:00:00,solid,covN2,,gcL,,2,3611752.3750520395,,,,
14_O_0131_covN2_3_2021-01-02,O_0131,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-02 00:00:00,2021-01-02 00:00:00,solid,covN2,,gcL,,3,3436655.427605533,,,,
15_O_0131_nPMMoV_1_2021-01-02,O_0131,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-02 00:00:00,2021-01-02 00:00:00,solid,nPMMoV,,gcL,,1,6342910771.960847,,,,
16_O_0132_covN1_1_2021-01-03,O_0132,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-03 00:00:00,2021-01-03 00:00:00,solid,covN1,,gcL,,1,3105486.518385743,,,,
17_O_0132_covN1_2_2021-01-03,O_0132,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-03 00:00:00,2021-01-03 00:00:00,solid,covN1,,gcL,,2,2877819.05943036,,,,
18_O_0132_covN1_3_2021-01-03,O_0132,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-03 00:00:00,2021-01-03 00:00:00,solid,covN1,,gcL,,3,3197906.097615132,,,,
19_O_0132_covN2_1_2021-01-03,O_0132,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-03 00:00:00,2021-01-03 00:00:00,solid,covN2,,gcL,,1,3503907.310028284,,,,
20_O_0132_covN2_2_2021-01-03,O_0132,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-03 00:00:00,2021-01-03 00:00:00,solid,covN2,,gcL,,2,3889911.9666263694,,,,
21_O_0132_covN2_3_2021-01-03,O_0132,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-03 00:00:00,2021-01-03 00:00:00,solid,covN2,,gcL,,3,3617332.0154183083,,,,
22_O_0132_nPMMoV_1_2021-01-03,O_0132,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-03 00:00:00,2021-01-03 00:00:00,solid,nPMMoV,,gcL,,1,7257572754.504906,,,,
23_O_0133_covN1_1_2021-01-04,O_0133,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-04 00:00:00,2021-01-04 00:00:00,solid,covN1,,gcL,,1,1810266.6817254284,,,,
24_O_0133_covN1_2_2021-01-04,O_0133,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-04 00:00:00,2021-01-04 00:00:00,solid,covN1,,gcL,,2,1654895.3707008706,,,,
25_O_0133_covN1_3_2021-01-04,O_0133,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-04 00:00:00,2021-01-04 00:00:00,solid,covN1,,gcL,,3,1977247.3997069255,,,,
26_O_0133_covN2_1_2021-01-04,O_0133,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-04 00:00:00,2021-01-04 00:00:00,solid,covN2,,gcL,,1,1881208.6294248633,,,,
27_O_0133_covN2_2_2021-01-04,O_0133,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-04 00:00:00,2021-01-04 00:00:00,solid,covN2,,gcL,,2,1397084.8038733692,,,,
28_O_0133_covN2_3_2021-01-04,O_0133,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-04 00:00:00,2021-01-04 00:00:00,solid,covN2,,gcL,,3,1437356.68293004,,,,
29_O_0133_nPMMoV_1_2021-01-04,O_0133,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-04 00:00:00,2021-01-04 00:00:00,solid,nPMMoV,,gcL,,1,2629418195.6290884,,,,
30_O_0134_covN1_1_2021-01-05,O_0134,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-05 00:00:00,2021-01-05 00:00:00,solid,covN1,,gcL,,1,2092652.0017222068,,,,
31_O_0134_covN1_2_2021-01-05,O_0134,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-05 00:00:00,2021-01-05 00:00:00,solid,covN1,,gcL,,2,3416074.2073355047,,,,
32_O_0134_covN1_3_2021-01-05,O_0134,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-05 00:00:00,2021-01-05 00:00:00,solid,covN1,,gcL,,3,1887048.843551157,,,,
33_O_0134_covN2_1_2021-01-05,O_0134,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-05 00:00:00,2021-01-05 00:00:00,solid,covN2,,gcL,,1,2375098.236138836,,,,
34_O_0134_covN2_2_2021-01-05,O_0134,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-05 00:00:00,2021-01-05 00:00:00,solid,covN2,,gcL,,2,2974049.71148831,,,,
35_O_0134_covN2_3_2021-01-05,O_0134,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-05 00:00:00,2021-01-05 00:00:00,solid,covN2,,gcL,,3,2242948.5569683723,,,,
36_O_0134_nPMMoV_1_2021-01-05,O_0134,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-05 00:00:00,2021-01-05 00:00:00,solid,nPMMoV,,gcL,,1,4449641561.273626,,,,
37_O_0135_covN1_1_2021-01-06,O_0135,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-06 00:00:00,2021-01-06 00:00:00,solid,covN1,,gcL,,1,3244560.8015313423,,,,
38_O_0135_covN1_2_2021-01-06,O_0135,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-06 00:00:00,2021-01-06 00:00:00,solid,covN1,,gcL,,2,3663438.18532002,,,,
39_O_0135_covN1_3_2021-01-06,O_0135,DELL1,DPMB,BioRadCFX-Connect_Delatolla,Patrick,2021-01-06 00:00:00,2021-01-06 00:00:00,solid,covN1,,gcL,,3,4365555.904240611,,,,
