sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
RV210218,RV,rawWW,cpTP24h,,2021-02-17 08:00:00,2021-02-18 08:00:00,1,,Yes,
CB210218,CB,rawWW,cpTP24h,,2021-02-17 08:00:00,2021-02-18 08:00:00,1,,Yes,
RV210225,RV,rawWW,cpTP24h,,2021-02-24 08:00:00,2021-02-25 08:00:00,1,,Yes,
CB210225,CB,rawWW,cpTP24h,,2021-02-24 08:00:00,2021-02-25 08:00:00,1,,Yes,
RV210301,RV,rawWW,cpTP24h,,2021-02-28 08:00:00,2021-03-01 08:00:00,1,,Yes,
CB210301,CB,rawWW,cpTP24h,,2021-02-28 08:00:00,2021-03-01 08:00:00,1,,Yes,
RV210304,RV,rawWW,cpTP24h,,2021-03-03 08:00:00,2021-03-04 08:00:00,1,,Yes,
CB210304,CB,rawWW,cpTP24h,,2021-03-03 08:00:00,2021-03-04 08:00:00,1,,Yes,
RV210308,RV,rawWW,cpTP24h,,2021-03-07 08:00:00,2021-03-08 08:00:00,1,,Yes,
CB210308,CB,rawWW,cpTP24h,,2021-03-07 08:00:00,2021-03-08 08:00:00,1,,Yes,
RV210311,RV,rawWW,cpTP24h,,2021-03-10 08:00:00,2021-03-11 08:00:00,1,,Yes,
CW210311,CW,rawWW,cpTP24h,,2021-03-10 08:00:00,2021-03-11 08:00:00,1,,Yes,
RV210312,RV,rawWW,cpTP24h,,2021-03-11 08:00:00,2021-03-12 08:00:00,1,,Yes,
CB210312,CB,rawWW,cpTP24h,,2021-03-11 08:00:00,2021-03-12 08:00:00,1,,Yes,
RV210315,RV,rawWW,cpTP24h,,2021-03-14 08:00:00,2021-03-15 08:00:00,1,,Yes,
CW210315,CW,rawWW,cpTP24h,,2021-03-14 08:00:00,2021-03-15 08:00:00,1,,Yes,
CB210316,CB,rawWW,cpTP24h,,2021-03-15 08:00:00,2021-03-16 08:00:00,1,,Yes,
CW210316,CW,rawWW,cpTP24h,,2021-03-15 08:00:00,2021-03-16 08:00:00,1,,Yes,
CW210317,CW,rawWW,cpTP24h,,2021-03-16 08:00:00,2021-03-17 08:00:00,1,,Yes,
RV210318,RV,rawWW,cpTP24h,,2021-03-17 08:00:00,2021-03-18 08:00:00,1,,Yes,
CB210318,CB,rawWW,cpTP24h,,2021-03-17 08:00:00,2021-03-18 08:00:00,1,,Yes,
RV210322,RV,rawWW,cpTP24h,,2021-03-21 08:00:00,2021-03-22 08:00:00,1,,Yes,
CB210322,CB,rawWW,cpTP24h,,2021-03-21 08:00:00,2021-03-22 08:00:00,1,,Yes,
CW210322,CW,rawWW,cpTP24h,,2021-03-21 08:00:00,2021-03-22 08:00:00,1,,Yes,
CW210323,CW,rawWW,cpTP24h,,2021-03-22 08:00:00,2021-03-23 08:00:00,1,,Yes,
CW210324,CW,rawWW,cpTP24h,,2021-03-23 08:00:00,2021-03-24 08:00:00,1,,Yes,
RV210325,RV,rawWW,cpTP24h,,2021-03-24 08:00:00,2021-03-25 08:00:00,1,,Yes,
CB210325,CB,rawWW,cpTP24h,,2021-03-24 08:00:00,2021-03-25 08:00:00,1,,Yes,
KS210325,KS,rawWW,cpTP24h,,2021-03-24 08:00:00,2021-03-25 08:00:00,1,,Yes,
CW210328,CW,rawWW,cpTP24h,,2021-03-27 08:00:00,2021-03-28 08:00:00,1,,Yes,
