uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes
RV210218,RV,RV210218,ARA,2021-02-18 08:00:00,wwFlow,,,,,,32319.0,m3/d,
CB210218,CB,CB210218,ARA,2021-02-18 08:00:00,wwFlow,,,,,,20232.0,m3/d,
RV210225,RV,RV210225,ARA,2021-02-25 08:00:00,wwFlow,,,,,,41478.0,m3/d,
CB210225,CB,CB210225,ARA,2021-02-25 08:00:00,wwFlow,,,,,,22622.0,m3/d,
RV210301,RV,RV210301,ARA,2021-03-01 08:00:00,wwFlow,,,,,,63502.0,m3/d,
CB210301,CB,CB210301,ARA,2021-03-01 08:00:00,wwFlow,,,,,,31241.0,m3/d,
RV210304,RV,RV210304,ARA,2021-03-04 08:00:00,wwFlow,,,,,,43688.0,m3/d,
CB210304,CB,CB210304,ARA,2021-03-04 08:00:00,wwFlow,,,,,,26445.0,m3/d,
RV210308,RV,RV210308,ARA,2021-03-08 08:00:00,wwFlow,,,,,,39747.0,m3/d,
CB210308,CB,CB210308,ARA,2021-03-08 08:00:00,wwFlow,,,,,,24160.0,m3/d,
RV210311,RV,RV210311,ARA,2021-03-11 08:00:00,wwFlow,,,,,,62922.0,m3/d,
CW210311,CW,CW210311,ARA,2021-03-11 08:00:00,wwFlow,,,,,,90499.0,m3/d,
RV210312,RV,RV210312,ARA,2021-03-12 08:00:00,wwFlow,,,,,,75111.0,m3/d,
CB210312,CB,CB210312,ARA,2021-03-12 08:00:00,wwFlow,,,,,,38502.0,m3/d,
RV210315,RV,RV210315,ARA,2021-03-15 08:00:00,wwFlow,,,,,,47198.0,m3/d,
CW210315,CW,CW210315,ARA,2021-03-15 08:00:00,wwFlow,,,,,,59153.0,m3/d,
CB210316,CB,CB210316,ARA,2021-03-16 08:00:00,wwFlow,,,,,,28798.0,m3/d,
CW210316,CW,CW210316,ARA,2021-03-16 08:00:00,wwFlow,,,,,,53996.0,m3/d,
CW210317,CW,CW210317,ARA,2021-03-17 08:00:00,wwFlow,,,,,,53007.0,m3/d,
RV210318,RV,RV210318,ARA,2021-03-18 08:00:00,wwFlow,,,,,,44158.0,m3/d,
CB210318,CB,CB210318,ARA,2021-03-18 08:00:00,wwFlow,,,,,,27113.0,m3/d,
RV210322,RV,RV210322,ARA,2021-03-22 08:00:00,wwFlow,,,,,,40769.0,m3/d,
CB210322,CB,CB210322,ARA,2021-03-22 08:00:00,wwFlow,,,,,,24944.0,m3/d,
CW210322,CW,CW210322,ARA,2021-03-22 08:00:00,wwFlow,,,,,,52817.0,m3/d,
CW210323,CW,CW210323,ARA,2021-03-23 08:00:00,wwFlow,,,,,,50824.0,m3/d,
CW210324,CW,CW210324,ARA,2021-03-24 08:00:00,wwFlow,,,,,,55187.0,m3/d,
RV210325,RV,RV210325,ARA,2021-03-25 08:00:00,wwFlow,,,,,,49554.0,m3/d,
CB210325,CB,CB210325,ARA,2021-03-25 08:00:00,wwFlow,,,,,,27256.0,m3/d,
KS210325,KS,KS210325,ARA,2021-03-25 08:00:00,wwFlow,,,,,,16140.0,m3/d,
CW210328,CW,CW210328,ARA,2021-03-28 08:00:00,wwFlow,,,,,,77675.0,m3/d,
RV210329,RV,RV210329,ARA,2021-03-29 08:00:00,wwFlow,,,,,,67508.0,m3/d,
CB210329,CB,CB210329,ARA,2021-03-29 08:00:00,wwFlow,,,,,,37978.0,m3/d,
CW210330,CW,CW210330,ARA,2021-03-30 08:00:00,wwFlow,,,,,,61233.0,m3/d,
RV210331,RV,RV210331,ARA,2021-03-31 08:00:00,wwFlow,,,,,,54804.0,m3/d,
CB210331,CB,CB210331,ARA,2021-03-31 08:00:00,wwFlow,,,,,,31303.0,m3/d,
CW210331,CW,CW210331,ARA,2021-03-31 08:00:00,wwFlow,,,,,,57748.0,m3/d,
KS210331,KS,KS210331,ARA,2021-03-31 08:00:00,wwFlow,,,,,,17890.0,m3/d,
RV210405,RV,RV210405,ARA,2021-04-05 08:00:00,wwFlow,,,,,,41874.0,m3/d,
CB210405,CB,CB210405,ARA,2021-04-05 08:00:00,wwFlow,,,,,,26332.587499999998,m3/d,
KS210405,KS,KS210405,ARA,2021-04-05 08:00:00,wwFlow,,,,,,,,No Flow Reported
CW210406,CW,CW210406,ARA,2021-04-06 08:00:00,wwFlow,,,,,,42841.0,m3/d,
CW210407,CW,CW210407,ARA,2021-04-07 08:00:00,wwFlow,,,,,,40856.0,m3/d,
RV210408,RV,RV210408,ARA,2021-04-08 08:00:00,wwFlow,,,,,,38370.0,m3/d,
CB210408,CB,CB210408,ARA,2021-04-08 08:00:00,wwFlow,,,,,,23578.925,m3/d,
CW210408,CW,CW210408,ARA,2021-04-08 08:00:00,wwFlow,,,,,,41111.0,m3/d,
KS210408,KS,KS210408,ARA,2021-04-12 08:00:00,wwFlow,,,,,,12490.0,m3/d,
RV210412,RV,RV210412,ARA,2021-04-12 08:00:00,wwFlow,,,,,,44922.0,m3/d,
CB210412,CB,CB210412,ARA,2021-04-12 08:00:00,wwFlow,,,,,,24768.0,m3/d,
CW210412,CW,CW210412,ARA,2021-04-12 08:00:00,wwFlow,,,,,,37967.0,m3/d,
CW210413,CW,CW210413,ARA,2021-04-13 08:00:00,wwFlow,,,,,,38131.0,m3/d,
CW210414,CW,CW210414,ARA,2021-04-14 08:00:00,wwFlow,,,,,,35883.0,m3/d,
RV210415,RV,RV210415,ARA,2021-04-15 08:00:00,wwFlow,,,,,,44541.0,m3/d,
CB210415,CB,CB210415,ARA,2021-04-15 08:00:00,wwFlow,,,,,,20724.0,m3/d,
KS210415,KS,KS210415,ARA,2021-04-15 08:00:00,wwFlow,,,,,,17890.0,m3/d,
RV210417,RV,RV210417,ARA,2021-04-17 08:00:00,wwFlow,,,,,,42423.0,m3/d,
CB210417,CB,CB210417,ARA,2021-04-17 08:00:00,wwFlow,,,,,,21090.0,m3/d,
RV210419,RV,RV210419,ARA,2021-04-19 08:00:00,wwFlow,,,,,,43364.0,m3/d,
CB210419,CB ,CB210419,ARA,2021-04-19 08:00:00,wwFlow,,,,,,22233.0,m3/d,
CW210419,CW,CW210419,ARA,2021-04-19 08:00:00,wwFlow,,,,,,39322.0,m3/d,
KS210419,KS,KS210419,ARA,2021-04-19 08:00:00,wwFlow,,,,,,15520.0,m3/d,
CW210420,CW,CW210420,ARA,2021-04-20 08:00:00,wwFlow,,,,,,44405.0,m3/d,
CW210421,CW,CW210421,ARA,2021-04-21 08:00:00,wwFlow,,,,,,45029.0,m3/d,
RV210422,RV,RV210422,ARA,2021-04-22 08:00:00,wwFlow,,,,,,43881.0,m3/d,
CB210422,CB,CB210422,ARA,2021-04-22 08:00:00,wwFlow,,,,,,21657.0,m3/d,
KS210422,KS,KS210422,ARA,2021-04-22 08:00:00,wwFlow,,,,,,14440.0,m3/d,
RV210424,RV,RV210424,ARA,2021-04-24 08:00:00,wwFlow,,,,,,39528.0,m3/d,
CB210424,CB,CB210424,ARA,2021-04-24 08:00:00,wwFlow,,,,,,21601.0,m3/d,
RV210426,RV,RV210426,ARA,2021-04-26 08:00:00,wwFlow,,,,,,37747.0,m3/d,
CB210426,CB,CB210426,ARA,2021-04-26 08:00:00,wwFlow,,,,,,19612.0,m3/d,
CW210426,CW,CW210426,ARA,2021-04-26 08:00:00,wwFlow,,,,,,36622.0,m3/d,
KS210426,KS,KS210426,ARA,2021-04-26 08:00:00,wwFlow,,,,,,13350.0,m3/d,
CW210427,CW,CW210427,ARA,2021-04-27 08:00:00,wwFlow,,,,,,35676.0,m3/d,
RV210429,RV,RV210429,ARA,2021-04-29 08:00:00,wwFlow,,,,,,59162.0,m3/d,
CB210429,CB,CB210429,ARA,2021-04-29 08:00:00,wwFlow,,,,,,19352.0,m3/d,
CW210428,CW,CW210428,ARA,2021-04-28 08:00:00,wwFlow,,,,,,45027.0,m3/d,
KS2104029,KS,KS2104029,ARA,2021-04-29 08:00:00,wwFlow,,,,,,26890.0,m3/d,
RV210501,RV,RV210501,ARA,2021-05-01 08:00:00,wwFlow,,,,,,67134.0,m3/d,
CB210501,CB,CB210501,ARA,2021-05-01 08:00:00,wwFlow,,,,,,41230.0,m3/d,
CM210502,CM,CM210502,ARA,2021-05-02 08:00:00,wwFlow,,,,,,,,No Flow Reported
RV210503,RV,RV210503,ARA,2021-05-03 08:00:00,wwFlow,,,,,,55329.0,m3/d,
CB210503,CB,CB210503,ARA,2021-05-03 08:00:00,wwFlow,,,,,,34533.0,m3/d,
CW210503,CW,CW210503,ARA,2021-05-03 08:00:00,wwFlow,,,,,,51200.0,m3/d,
CW210504,CW,CW210504,ARA,2021-05-04 08:00:00,wwFlow,,,,,,48223.0,m3/d,
CW210505,CW,CW210505,ARA,2021-05-05 08:00:00,wwFlow,,,,,,48632.0,m3/d,
LT210505,LT,LT210505,ARA,2021-05-05 08:00:00,wwFlow,,,,,,3788.0,m3/d,
RV210506,RV,RV210506,ARA,2021-05-06 08:00:00,wwFlow,,,,,,47798.0,m3/d,
CB210506,CB,CB210506,ARA,2021-05-06 08:00:00,wwFlow,,,,,,30857.487499999996,m3/d,
RV210508,RV,RV210508,ARA,2021-05-08 08:00:00,wwFlow,,,,,,65947.0,m3/d,
CB210508,CB,CB210508,ARA,2021-05-08 08:00:00,wwFlow,,,,,,31500.0,m3/d,
RV210510,RV,RV210510,ARA,2021-05-10 08:00:00,wwFlow,,,,,,53150.0,m3/d,
CB210510,CB,CB210510,ARA,2021-05-10 08:00:00,wwFlow,,,,,,31632.0,m3/d,
KS210510,KS,KS210510,ARA,2021-05-10 08:00:00,wwFlow,,,,,,,,No Flow Reported
CW210510,CW,CW210510,ARA,2021-05-10 08:00:00,wwFlow,,,,,,36764.0,m3/d,
CW210511,CW,CW210511,ARA,2021-05-11 08:00:00,wwFlow,,,,,,39983.0,m3/d,
LT210511,LT,LT210511,ARA,2021-05-11 08:00:00,wwFlow,,,,,,3227.0,m3/d,
CW210512,CW,CW210512,ARA,2021-05-12 08:00:00,wwFlow,,,,,,37034.0,m3/d,
RV210513,RV,RV210513,ARA,2021-05-13 08:00:00,wwFlow,,,,,,45215.0,m3/d,
CB210513,CB,CB210513,ARA,2021-05-13 08:00:00,wwFlow,,,,,,28066.687499999996,m3/d,
KS120515,KS,KS120515,ARA,2021-05-15 08:00:00,wwFlow,,,,,,,,No Flow Reported
LT210513,LT,LT210513,ARA,2021-05-13 08:00:00,wwFlow,,,,,,2916.0,m3/d,
RV210515,RV,RV210515,ARA,2021-05-15 08:00:00,wwFlow,,,,,,42261.0,m3/d,
CB210515,CB,CB210515,ARA,2021-05-15 08:00:00,wwFlow,,,,,,27294.0625,m3/d,
CM210516,CM,CM210516,ARA,2021-05-16 08:00:00,wwFlow,,,,,,,,No Flow Reported
RV210517,RV,RV210517,ARA,2021-05-17 08:00:00,wwFlow,,,,,,39531.0,m3/d,
CB210517,CB,CB210517,ARA,2021-05-17 08:00:00,wwFlow,,,,,,26029.45,m3/d,
KS210517,KS,KS210517,ARA,2021-05-17 08:00:00,wwFlow,,,,,,14810.0,m3/d,
LT210517,LT,LT210517,ARA,2021-05-17 08:00:00,wwFlow,,,,,,2482.0,m3/d,
CW210517,CW,CW210517,ARA,2021-05-17 08:00:00,wwFlow,,,,,,35217.0,m3/d,
CW210518,CW,CW210518,ARA,2021-05-18 08:00:00,wwTemp,,,,,,,,No Flow Reported
LT210518,LT,LT210518,ARA,2021-05-18 08:00:00,wwFlow,,,,,,2204.0,m3/d,
CW210519,CW,CW210519,ARA,2021-05-19 08:00:00,wwFlow,,,,,,37042.0,m3/d,
RV210520,RV,RV210520,ARA,2021-05-20 08:00:00,wwFlow,,,,,,36615.0,m3/d,
CB210520,CB,CB210520,ARA,2021-05-20 08:00:00,wwFlow,,,,,,25309.425,m3/d,
KS210520,KS,KS210520,ARA,2021-05-20 08:00:00,wwFlow,,,,,,,,No Flow Reported
LT210520,LT,LT210520,ARA,2021-05-20 08:00:00,wwFlow,,,,,,2234.0,m3/d,
RV210522,RV,RV210522,ARA,2021-05-22 08:00:00,wwFlow,,,,,,36666.0,m3/d,
CB210522,CB,CB210522,ARA,2021-05-22 08:00:00,wwFlow,,,,,,24396.0,m3/d,
RV210524,RV,RV210524,ARA,2021-05-24 08:00:00,wwFlow,,,,,,36666.0,m3/d,
CB210524,CB,CB210524,ARA,2021-05-24 08:00:00,wwFlow,,,,,,23382.0,m3/d,
