uWwMeasureID,sampleID,labID,assayMethodID,instrumentID,reporterID,analysisDate,reportDate,fractionAnalyzed,type,typeOther,unit,unitOther,index,value,qualityFlag,CF,ESV,notes
2_RV210218_covN1_1_1900-01-00,RV210218,QGS,N1,Quant,ARA,,,solid,covN1,,gcMl,,1,0.08785898201840753,,,,
3_RV210218_covN1_2_1900-01-00,RV210218,QGS,N1,Quant,ARA,,,solid,covN1,,gcMl,,2,0.06666666666666667,,,,
4_RV210218_nPMMoV_1_1900-01-00,RV210218,QGS,PMMoV,Quant,ARA,,,solid,nPMMoV,,gcMl,,1,3278.5234800372605,,,,
5_RV210218_nPMMoV_2_1900-01-00,RV210218,QGS,PMMoV,Quant,ARA,,,solid,nPMMoV,,gcMl,,2,3499.077087085565,,,,
6_CB210218_covN1_1_1900-01-00,CB210218,QGS,N1,Quant,ARA,,,solid,covN1,,gcMl,,1,0.06666666666666667,,,,
7_CB210218_covN1_2_1900-01-00,CB210218,QGS,N1,Quant,ARA,,,solid,covN1,,gcMl,,2,0.06666666666666667,,,,
8_CB210218_nPMMoV_1_1900-01-00,CB210218,QGS,PMMoV,Quant,ARA,,,solid,nPMMoV,,gcMl,,1,2202.3449137839293,,,,
9_CB210218_nPMMoV_2_1900-01-00,CB210218,QGS,PMMoV,Quant,ARA,,,solid,nPMMoV,,gcMl,,2,2333.5593858418406,,,,
10_RV210225_covN1_1_1900-01-00,RV210225,QGS,N1,Quant,ARA,,,solid,covN1,,gcMl,,1,0.6996177883030383,,,,
11_RV210225_covN1_2_1900-01-00,RV210225,QGS,N1,Quant,ARA,,,solid,covN1,,gcMl,,2,0.7313914911687038,,,,
12_RV210225_nPMMoV_1_1900-01-00,RV210225,QGS,PMMoV,Quant,ARA,,,solid,nPMMoV,,gcMl,,1,429.4012890942743,,,,
13_RV210225_nPMMoV_2_1900-01-00,RV210225,QGS,PMMoV,Quant,ARA,,,solid,nPMMoV,,gcMl,,2,553.1239987737374,,,,
