sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes
TAB-21Feb11,AB,Raw WW,cpTP24h,2021-02-11 17:00:00,2021-02-10 17:00:00,2021-02-11 17:00:00,0.5,0,Yes,,,
TAB-21Feb14,AB,Raw WW,cpTP24h,2021-02-14 17:00:00,2021-02-13 17:00:00,2021-02-14 17:00:00,0.5,0,Yes,,,
TAB-21Feb15,AB,Raw WW,cpTP24h,2021-02-15 17:00:00,2021-02-14 17:00:00,2021-02-15 17:00:00,0.5,0,Yes,,,
TAB-21Feb16,AB,Raw WW,cpTP24h,2021-02-16 17:00:00,2021-02-15 17:00:00,2021-02-16 17:00:00,0.5,0,Yes,,,
TAB-21Feb17,AB,Raw WW,cpTP24h,2021-02-17 17:00:00,2021-02-16 17:00:00,2021-02-17 17:00:00,0.5,0,Yes,,,
TAB-21Feb18,AB,Raw WW,cpTP24h,2021-02-18 17:00:00,2021-02-17 17:00:00,2021-02-18 17:00:00,0.5,0,Yes,,,
TAB-21Feb21,AB,Raw WW,cpTP24h,2021-02-21 17:00:00,2021-02-20 17:00:00,2021-02-21 17:00:00,0.5,0,Yes,,,
TAB-21Feb22,AB,Raw WW,cpTP24h,2021-02-22 17:00:00,2021-02-21 17:00:00,2021-02-22 17:00:00,0.5,0,Yes,,,
TAB-21Feb23,AB,Raw WW,cpTP24h,2021-02-23 17:00:00,2021-02-22 17:00:00,2021-02-23 17:00:00,0.5,0,Yes,,,
TAB-21Feb24,AB,Raw WW,cpTP24h,2021-02-24 17:00:00,2021-02-23 17:00:00,2021-02-24 17:00:00,0.5,0,Yes,,,
TAB-21Feb25,AB,Raw WW,cpTP24h,2021-02-25 17:00:00,2021-02-24 17:00:00,2021-02-25 17:00:00,0.5,0,Yes,,,
TAB-21Feb28,AB,Raw WW,cpTP24h,2021-02-28 17:00:00,2021-02-27 17:00:00,2021-02-28 17:00:00,0.5,0,Yes,,,
TAB-21Mar02,AB,Raw WW,cpTP24h,2021-03-02 17:00:00,2021-03-01 17:00:00,2021-03-02 17:00:00,0.5,0,Yes,,,
TAB-21Mar03,AB,Raw WW,cpTP24h,2021-03-03 17:00:00,2021-03-02 17:00:00,2021-03-03 17:00:00,0.5,0,Yes,,,
TAB-21Mar04,AB,Raw WW,cpTP24h,2021-03-04 17:00:00,2021-03-03 17:00:00,2021-03-04 17:00:00,0.5,0,Yes,,,
TAB-21Mar07,AB,Raw WW,cpTP24h,2021-03-07 17:00:00,2021-03-06 17:00:00,2021-03-07 17:00:00,0.5,0,Yes,,,
TAB-21Mar08,AB,Raw WW,cpTP24h,2021-03-08 17:00:00,2021-03-07 17:00:00,2021-03-08 17:00:00,0.5,0,Yes,,,
TAB-21Mar09,AB,Raw WW,cpTP24h,2021-03-09 17:00:00,2021-03-08 17:00:00,2021-03-09 17:00:00,0.5,0,Yes,,,
TAB-21Mar10,AB,Raw WW,cpTP24h,2021-03-10 17:00:00,2021-03-09 17:00:00,2021-03-10 17:00:00,0.5,0,Yes,,,
TAB-21Mar11,AB,Raw WW,cpTP24h,2021-03-11 17:00:00,2021-03-10 17:00:00,2021-03-11 17:00:00,0.5,0,Yes,,,
TAB-21Mar14,AB,Raw WW,cpTP24h,2021-03-14 17:00:00,2021-03-13 17:00:00,2021-03-14 17:00:00,0.5,0,Yes,,,
TAB-21Mar15,AB,Raw WW,cpTP24h,2021-03-15 17:00:00,2021-03-14 17:00:00,2021-03-15 17:00:00,0.5,0,Yes,,,
TAB-21Mar16,AB,Raw WW,cpTP24h,2021-03-16 17:00:00,2021-03-15 17:00:00,2021-03-16 17:00:00,0.5,0,Yes,,,
TAB-21Mar17,AB,Raw WW,cpTP24h,2021-03-17 17:00:00,2021-03-16 17:00:00,2021-03-17 17:00:00,0.5,0,Yes,,,
TAB-21Mar18,AB,Raw WW,cpTP24h,2021-03-18 17:00:00,2021-03-17 17:00:00,2021-03-18 17:00:00,0.5,0,Yes,,,
TAB-21Mar21,AB,Raw WW,cpTP24h,2021-03-21 17:00:00,2021-03-20 17:00:00,2021-03-21 17:00:00,0.5,0,Yes,,,
TAB-21Mar22,AB,Raw WW,cpTP24h,2021-03-22 17:00:00,2021-03-21 17:00:00,2021-03-22 17:00:00,0.5,0,Yes,,,
TAB-21Mar23,AB,Raw WW,cpTP24h,2021-03-23 17:00:00,2021-03-22 17:00:00,2021-03-23 17:00:00,0.5,0,Yes,,,
TAB-21Mar24,AB,Raw WW,cpTP24h,2021-03-24 17:00:00,2021-03-23 17:00:00,2021-03-24 17:00:00,0.5,0,Yes,,,
