uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes
TAB-21Feb11_AB,AB,TAB-21Feb11,JXSUN,2021-02-11 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,,ML/D,
TAB-21Feb14_AB,AB,TAB-21Feb14,JXSUN,2021-02-14 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,436.409346386042,ML/D,
TAB-21Feb15_AB,AB,TAB-21Feb15,JXSUN,2021-02-15 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,434.617689602778,ML/D,
TAB-21Feb16_AB,AB,TAB-21Feb16,JXSUN,2021-02-16 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,442.360551216493,ML/D,
TAB-21Feb17_AB,AB,TAB-21Feb17,JXSUN,2021-02-17 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,451.735725080903,ML/D,
TAB-21Feb18_AB,AB,TAB-21Feb18,JXSUN,2021-02-18 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,445.446612110243,ML/D,
TAB-21Feb21_AB,AB,TAB-21Feb21,JXSUN,2021-02-21 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,436.471478390972,ML/D,
TAB-21Feb22_AB,AB,TAB-21Feb22,JXSUN,2021-02-22 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,473.164974745833,ML/D,
TAB-21Feb23_AB,AB,TAB-21Feb23,JXSUN,2021-02-23 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,548.959725902083,ML/D,
TAB-21Feb24_AB,AB,TAB-21Feb24,JXSUN,2021-02-24 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,565.497555807639,ML/D,
TAB-21Feb25_AB,AB,TAB-21Feb25,JXSUN,2021-02-25 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,562.557827130903,ML/D,
TAB-21Feb28_AB,AB,TAB-21Feb28,JXSUN,2021-02-28 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,520.408988638889,ML/D,
TAB-21Mar02_AB,AB,TAB-21Mar02,JXSUN,2021-03-02 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,499.193456108681,ML/D,
TAB-21Mar03_AB,AB,TAB-21Mar03,JXSUN,2021-03-03 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,441.069380900694,ML/D,
TAB-21Mar04_AB,AB,TAB-21Mar04,JXSUN,2021-03-04 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,461.120799438889,ML/D,
TAB-21Mar07_AB,AB,TAB-21Mar07,JXSUN,2021-03-07 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,452.593131888194,ML/D,
TAB-21Mar08_AB,AB,TAB-21Mar08,JXSUN,2021-03-08 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,473.24570030625,ML/D,
TAB-21Mar09_AB,AB,TAB-21Mar09,JXSUN,2021-03-09 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,445.470014531493,ML/D,
TAB-21Mar10_AB,AB,TAB-21Mar10,JXSUN,2021-03-10 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,460.206997437847,ML/D,
TAB-21Mar11_AB,AB,TAB-21Mar11,JXSUN,2021-03-11 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,455.243993975451,ML/D,
TAB-21Mar14_AB,AB,TAB-21Mar14,JXSUN,2021-03-14 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,412.924672977951,ML/D,
TAB-21Mar15_AB,AB,TAB-21Mar15,JXSUN,2021-03-15 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,477.378811556944,ML/D,
TAB-21Mar16_AB,AB,TAB-21Mar16,JXSUN,2021-03-16 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,450.388587222917,ML/D,
TAB-21Mar17_AB,AB,TAB-21Mar17,JXSUN,2021-03-17 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,439.694531220486,ML/D,
TAB-21Mar18_AB,AB,TAB-21Mar18,JXSUN,2021-03-18 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,449.746329373715,ML/D,
TAB-21Mar21_AB,AB,TAB-21Mar21,JXSUN,2021-03-21 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,422.890518576389,ML/D,
TAB-21Mar22_AB,AB,TAB-21Mar22,JXSUN,2021-03-22 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,452.630137810764,ML/D,
TAB-21Mar23_AB,AB,TAB-21Mar23,JXSUN,2021-03-23 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,449.148662744583,ML/D,
TAB-21Mar24_AB,AB,TAB-21Mar24,JXSUN,2021-03-24 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,437.058055003785,ML/D,
TAB-21Mar25_AB,AB,TAB-21Mar25,JXSUN,2021-03-25 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,452.086933202708,ML/D,
TAB-21Mar28_AB,AB,TAB-21Mar28,JXSUN,2021-03-28 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,646.473906751389,ML/D,
TAB-21Mar29_AB,AB,TAB-21Mar29,JXSUN,2021-03-29 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,605.126392825,ML/D,
TAB-21Mar30_AB,AB,TAB-21Mar30,JXSUN,2021-03-30 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,516.702212988194,ML/D,
TAB-21Mar31_AB,AB,TAB-21Mar31,JXSUN,2021-03-31 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,494.302170986111,ML/D,
TAB-21Apr01_AB,AB,TAB-21Apr01,JXSUN,2021-04-01 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,480.789662055556,ML/D,
TAB-21Apr04_AB,AB,TAB-21Apr04,JXSUN,2021-04-04 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,440.672010433229,ML/D,
TAB-21Apr05_AB,AB,TAB-21Apr05,JXSUN,2021-04-05 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,445.345561044687,ML/D,
TAB-21Apr06_AB,AB,TAB-21Apr06,JXSUN,2021-04-06 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,475.603164234375,ML/D,
TAB-21Apr08_AB,AB,TAB-21Apr08,JXSUN,2021-04-08 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,460.578724024757,ML/D,
TAB-21Apr11_AB,AB,TAB-21Apr11,JXSUN,2021-04-11 17:00:00,wwFlow,0,Measured daily average flow,mean,0,0,630.842465664583,ML/D,
