sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes,sampleDate
fac1_2021Mar25_c24,fac1,rawWW,cpTP24h,,2021-03-24 10:00:00,2021-03-25 09:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-03-25
fac1_2021Mar30_c23,fac1,rawWW,cpTP24h,,2021-03-29 08:25:00,2021-03-30 07:25:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-03-30
fac1_2021Apr01_c24,fac1,rawWW,cpTP24h,,2021-03-31 08:35:00,2021-04-01 07:35:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-04-01
fac1_2021Apr06_c24,fac1,rawWW,cpTP24h,,2021-04-05 08:20:00,2021-04-06 07:20:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-04-06
fac1_2021Apr08_c24,fac1,rawWW,cpTP24h,,2021-04-07 08:40:00,2021-04-08 07:40:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-04-08
fac1_2021Apr13_c24,fac1,rawWW,cpTP24h,,2021-04-12 08:35:00,2021-04-13 07:35:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-04-13
fac1_2021Apr15_c24,fac1,rawWW,cpTP24h,,2021-04-14 09:00:00,2021-04-15 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-04-15
fac1_2021Apr20_c23,fac1,rawWW,cpTP24h,,2021-04-19 08:45:00,2021-04-20 07:45:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-04-20
fac1_2021Apr22_c24,fac1,rawWW,cpTP24h,,2021-04-21 08:40:00,2021-04-22 07:40:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-04-22
fac1_2021Apr27_c24,fac1,rawWW,cpTP24h,,2021-04-26 08:33:00,2021-04-27 07:33:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-04-27
fac1_2021Apr29_c22,fac1,rawWW,cpTP24h,,2021-04-28 08:30:00,2021-04-29 07:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-04-29
fac1_2021May04_c22,fac1,rawWW,cpTP24h,,2021-05-03 08:30:00,2021-05-04 07:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-05-04
fac1_2021May06_c21,fac1,rawWW,cpTP24h,,2021-05-05 08:30:00,2021-05-06 07:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-05-06
fac1_2021May11_c23,fac1,rawWW,cpTP24h,,2021-05-10 08:55:00,2021-05-11 07:55:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-05-11
fac1_2021May13_c24,fac1,rawWW,cpTP24h,,2021-05-12 08:40:00,2021-05-13 07:40:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-05-13
fac1_2021May18_c24,fac1,rawWW,cpTP24h,,2021-05-17 08:25:00,2021-05-18 07:25:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-05-18
fac1_2021May20_c24,fac1,rawWW,cpTP24h,,2021-05-19 08:20:00,2021-05-20 07:20:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-05-20
fac1_2021May26_c21,fac1,rawWW,cpTP24h,,2021-05-25 08:33:00,2021-05-26 07:33:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-05-26
fac1_2021May27_c24,fac1,rawWW,cpTP24h,,2021-05-26 08:50:00,2021-05-27 07:50:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-05-27
fac1_2021Jun01_c23,fac1,rawWW,cpTP24h,,2021-05-31 08:28:00,2021-06-01 07:28:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-01
fac1_2021Jun03_c24,fac1,rawWW,cpTP24h,,2021-06-02 08:30:00,2021-06-03 07:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-03
fac1a_2021Jun08_c24,fac1a,rawWW,cpTP24h,,2021-06-07 08:30:00,2021-06-08 07:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-08
fac1a_2021Jun10_c24,fac1a,rawWW,cpTP24h,,2021-06-09 08:30:00,2021-06-10 07:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-10
fac1a_2021Jun15_c24,fac1a,rawWW,cpTP24h,,2021-06-14 09:05:00,2021-06-15 08:05:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-15
fac1a_2021Jun17_c23,fac1a,rawWW,cpTP24h,,2021-06-16 08:40:00,2021-06-17 07:40:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-17
fac1a_2021Jun22_c24,fac1a,rawWW,cpTP24h,,2021-06-21 08:30:00,2021-06-22 07:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-22
fac1a_2021Jun24_c24,fac1a,rawWW,cpTP24h,,2021-06-23 08:35:00,2021-06-24 07:35:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-24
