uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes
fac1_flow_1,fac1,fac1_2021Mar25_c24,Ryerson_Hataley,2021-03-25 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_2,fac1,fac1_2021Mar30_c23,Ryerson_Hataley,2021-03-30 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_3,fac1,fac1_2021Apr01_c24,Ryerson_Hataley,2021-04-01 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_4,fac1,fac1_2021Apr06_c24,Ryerson_Hataley,2021-04-06 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_5,fac1,fac1_2021Apr08_c24,Ryerson_Hataley,2021-04-08 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_6,fac1,fac1_2021Apr13_c24,Ryerson_Hataley,2021-04-13 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_7,fac1,fac1_2021Apr15_c24,Ryerson_Hataley,2021-04-15 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_8,fac1,fac1_2021Apr20_c23,Ryerson_Hataley,2021-04-20 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_9,fac1,fac1_2021Apr22_c24,Ryerson_Hataley,2021-04-22 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_10,fac1,fac1_2021Apr27_c24,Ryerson_Hataley,2021-04-27 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_11,fac1,fac1_2021Apr29_c22,Ryerson_Hataley,2021-04-29 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_12,fac1,fac1_2021May04_c22,Ryerson_Hataley,2021-05-04 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_13,fac1,fac1_2021May06_c21,Ryerson_Hataley,2021-05-06 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_14,fac1,fac1_2021May11_c23,Ryerson_Hataley,2021-05-11 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_15,fac1,fac1_2021May13_c24,Ryerson_Hataley,2021-05-13 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_16,fac1,fac1_2021May18_c24,Ryerson_Hataley,2021-05-18 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_17,fac1,fac1_2021May20_c24,Ryerson_Hataley,2021-05-20 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_18,fac1,fac1_2021May26_c21,Ryerson_Hataley,2021-05-26 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_19,fac1,fac1_2021May27_c24,Ryerson_Hataley,2021-05-27 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_20,fac1,fac1_2021Jun01_c23,Ryerson_Hataley,2021-06-01 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1_flow_21,fac1,fac1_2021Jun03_c24,Ryerson_Hataley,2021-06-03 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_1,fac1a,fac1a_2021Jun08_c24,Ryerson_Hataley,2021-06-08 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_2,fac1a,fac1a_2021Jun10_c24,Ryerson_Hataley,2021-06-10 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_3,fac1a,fac1a_2021Jun15_c24,Ryerson_Hataley,2021-06-15 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_4,fac1a,fac1a_2021Jun17_c23,Ryerson_Hataley,2021-06-17 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_5,fac1a,fac1a_2021Jun22_c24,Ryerson_Hataley,2021-06-22 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_6,fac1a,fac1a_2021Jun24_c24,Ryerson_Hataley,2021-06-24 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_7,fac1a,fac1a_2021Jun29_c24,Ryerson_Hataley,2021-06-29 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_8,fac1a,fac1a_2021Jun30_c23,Ryerson_Hataley,2021-06-30 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_9,fac1a,fac1a_2021Jul06_c24,Ryerson_Hataley,2021-07-06 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_10,fac1a,fac1a_2021Jul08_c24,Ryerson_Hataley,2021-07-08 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_11,fac1a,fac1a_2021Jul13_c24,Ryerson_Hataley,2021-07-13 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
