sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
A126,Belleville,rawWW,cpTP24h,,2021-02-22 00:00:00,2021-02-23 00:00:00,6.25,,,
A141,Belleville,rawWW,cpTP24h,,2021-02-23 00:00:00,2021-02-24 00:00:00,6.25,,,
A143,Belleville,rawWW,cpTP24h,,2021-02-27 00:00:00,2021-02-28 00:00:00,6.25,,,
A158,Belleville,rawWW,cpTP24h,,2021-03-01 00:00:00,2021-03-02 00:00:00,6.25,,,
A186,Belleville,rawWW,cpTP24h,,2021-03-02 00:00:00,2021-03-03 00:00:00,6.25,,,
A185,Belleville,rawWW,cpTP24h,,2021-03-06 00:00:00,2021-03-07 00:00:00,6.25,,,
A207,Belleville,rawWW,cpTP24h,,2021-03-08 00:00:00,2021-03-09 00:00:00,6.25,,,
A208,Belleville,rawWW,cpTP24h,,2021-03-09 00:00:00,2021-03-10 00:00:00,6.25,,,
A255,Belleville,rawWW,cpTP24h,,2021-03-15 00:00:00,2021-03-16 00:00:00,6.25,,,
A271,Belleville,rawWW,cpTP24h,,2021-03-16 00:00:00,2021-03-17 00:00:00,6.25,,,
A296,Belleville,rawWW,cpTP24h,,2021-03-20 00:00:00,2021-03-21 00:00:00,6.25,,,
A315,Belleville,rawWW,cpTP24h,,2021-03-22 00:00:00,2021-03-23 00:00:00,6.25,,,
A325,Belleville,rawWW,cpTP24h,,2021-03-23 00:00:00,2021-03-24 00:00:00,6.25,,,
A352,Belleville,rawWW,cpTP24h,,2021-03-27 00:00:00,2021-03-28 00:00:00,6.25,,,
A384,Belleville,rawWW,cpTP24h,,2021-03-29 00:00:00,2021-03-30 00:00:00,6.25,,,
A399,Belleville,rawWW,cpTP24h,,2021-03-30 00:00:00,2021-03-31 00:00:00,6.25,,,
A426,Belleville,rawWW,cpTP24h,,2021-04-03 00:00:00,2021-04-04 00:00:00,6.25,,,
A440,Belleville,rawWW,cpTP24h,,2021-04-05 00:00:00,2021-04-06 00:00:00,6.25,,,
A494,Belleville,rawWW,cpTP24h,,2021-04-06 00:00:00,2021-04-07 00:00:00,6.25,,,
A495,Belleville,rawWW,cpTP24h,,2021-04-10 00:00:00,2021-04-11 00:00:00,6.25,,,
A507,Belleville,rawWW,cpTP24h,,2021-04-12 00:00:00,2021-04-13 00:00:00,6.25,,,
A527,Belleville,rawWW,cpTP24h,,2021-04-13 00:00:00,2021-04-14 00:00:00,6.25,,,
A724,Belleville,rawWW,cpTP24h,,2021-04-17 00:00:00,2021-04-18 00:00:00,6.25,,,
A559,Belleville,rawWW,cpTP24h,,2021-04-19 00:00:00,2021-04-20 00:00:00,6.25,,,
A570,Belleville,rawWW,cpTP24h,,2021-04-20 00:00:00,2021-04-21 00:00:00,6.25,,,
A621,Belleville,rawWW,cpTP24h,,2021-04-24 00:00:00,2021-04-25 00:00:00,6.25,,,
A670,Belleville,rawWW,cpTP24h,,2021-04-26 00:00:00,2021-04-27 00:00:00,6.25,,,
A692,Belleville,rawWW,cpTP24h,,2021-04-27 00:00:00,2021-04-28 00:00:00,6.25,,,
A707,Belleville,rawWW,cpTP24h,,2021-05-01 00:00:00,2021-05-02 00:00:00,6.25,,,
A723,Belleville,rawWW,cpTP24h,,2021-05-02 00:00:00,2021-05-03 00:00:00,6.25,,,
A740,Belleville,rawWW,cpTP24h,,2021-05-03 00:00:00,2021-05-04 00:00:00,6.25,,,
A750,Belleville,rawWW,cpTP24h,,2021-05-04 00:00:00,2021-05-05 00:00:00,6.25,,,
A782,Belleville,rawWW,cpTP24h,,2021-05-07 00:00:00,2021-05-08 00:00:00,6.25,,,
A784,Belleville,rawWW,cpTP24h,,2021-05-08 00:00:00,2021-05-09 00:00:00,6.25,,,
A822,Belleville,rawWW,cpTP24h,,2021-05-09 08:00:00,2021-05-10 08:00:00,6.25,,,
A842,Belleville,rawWW,cpTP24h,,2021-05-10 08:00:00,2021-05-11 08:00:00,6.25,,,
A858,Belleville,rawWW,cpTP24h,,2021-05-11 08:00:00,2021-05-12 08:00:00,6.25,,,
A899,Belleville,rawWW,cpTP24h,,2021-05-13 08:00:00,2021-05-14 08:00:00,6.25,,,
A896,Belleville,rawWW,cpTP24h,,2021-05-14 08:00:00,2021-05-15 08:00:00,6.25,,,
A894,Belleville,rawWW,cpTP24h,,2021-05-15 08:00:00,2021-05-16 08:00:00,6.25,,,
A915,Belleville,rawWW,cpTP24h,,2021-05-16 08:00:00,2021-05-17 08:00:00,6.25,,,
A930,Belleville,rawWW,cpTP24h,,2021-05-17 08:00:00,2021-05-18 08:00:00,6.25,,,
A943,Belleville,rawWW,cpTP24h,,2021-05-18 08:00:00,2021-05-19 08:00:00,6.25,,,
A996,Belleville,rawWW,cpTP24h,,2021-05-21 08:00:00,2021-05-22 08:00:00,6.25,,,
A980,Belleville,rawWW,cpTP24h,,2021-05-22 08:00:00,2021-05-23 08:00:00,6.25,,,
A978,Belleville,rawWW,cpTP24h,,2021-05-23 08:00:00,2021-05-24 08:00:00,6.25,,,
A993,Belleville,rawWW,cpTP24h,,2021-05-24 08:00:00,2021-05-25 08:00:00,6.25,,,
A991,Belleville,rawWW,cpTP24h,,2021-05-25 08:00:00,2021-05-26 08:00:00,6.25,,,
B034,Belleville,rawWW,cpTP24h,,2021-05-27 08:00:00,2021-05-28 08:00:00,6.25,,,
B032,Belleville,rawWW,cpTP24h,,2021-05-28 08:00:00,2021-05-29 08:00:00,6.25,,,
B023,Belleville,rawWW,cpTP24h,,2021-05-29 08:00:00,2021-05-30 08:00:00,6.25,,,
B040,Belleville,rawWW,cpTP24h,,2021-05-30 08:00:00,2021-05-31 08:00:00,6.25,,,
B082,Belleville,rawWW,cpTP24h,,2021-05-31 08:00:00,2021-06-01 08:00:00,6.25,,,
B080,Belleville,rawWW,cpTP24h,,2021-06-01 08:00:00,2021-06-02 08:00:00,6.25,,,
B123,Belleville,rawWW,cpTP24h,,2021-06-03 08:00:00,2021-06-04 08:00:00,6.25,,,
B121,Belleville,rawWW,cpTP24h,,2021-06-04 08:00:00,2021-06-05 08:00:00,6.25,,,
B119,Belleville,rawWW,cpTP24h,,2021-06-05 08:00:00,2021-06-06 08:00:00,6.25,,,
B138,Belleville,rawWW,cpTP24h,,2021-06-06 08:00:00,2021-06-07 08:00:00,6.25,,,
B158,Belleville,rawWW,cpTP24h,,2021-06-07 08:00:00,2021-06-08 08:00:00,6.25,,,
B178,Belleville,rawWW,cpTP24h,,2021-06-08 08:00:00,2021-06-09 08:00:00,6.25,,,
B214,Belleville,rawWW,cpTP24h,,2021-06-10 08:00:00,2021-06-11 08:00:00,6.25,,,
B215,Belleville,rawWW,cpTP24h,,2021-06-11 08:00:00,2021-06-12 08:00:00,6.25,,,
B217,Belleville,rawWW,cpTP24h,,2021-06-12 08:00:00,2021-06-13 08:00:00,6.25,,,
B232,Belleville,rawWW,cpTP24h,,2021-06-13 08:00:00,2021-06-14 08:00:00,6.25,,,
B247,Belleville,rawWW,cpTP24h,,2021-06-14 08:00:00,2021-06-15 08:00:00,6.25,,,
B267,Belleville,rawWW,cpTP24h,,2021-06-15 08:00:00,2021-06-16 08:00:00,6.25,,,
B311,Belleville,rawWW,cpTP24h,,2021-06-17 08:00:00,2021-06-18 08:00:00,6.25,,,
B309,Belleville,rawWW,cpTP24h,,2021-06-18 08:00:00,2021-06-19 08:00:00,6.25,,,
B307,Belleville,rawWW,cpTP24h,,2021-06-19 08:00:00,2021-06-20 08:00:00,6.25,,,
B325,Belleville,rawWW,cpTP24h,,2021-06-20 08:00:00,2021-06-21 08:00:00,6.25,,,
B341,Belleville,rawWW,cpTP24h,,2021-06-22 08:00:00,2021-06-23 08:00:00,6.25,,,
B354,Belleville,rawWW,cpTP24h,,2021-06-23 08:00:00,2021-06-24 08:00:00,6.25,,,
B387,Belleville,rawWW,cpTP24h,,2021-06-25 08:00:00,2021-06-26 08:00:00,6.25,,,
B385,Belleville,rawWW,cpTP24h,,2021-06-26 08:00:00,2021-06-27 08:00:00,6.25,,,
B383,Belleville,rawWW,cpTP24h,,2021-06-27 08:00:00,2021-06-28 08:00:00,6.25,,,
B403,Belleville,rawWW,cpTP24h,,2021-06-28 08:00:00,2021-06-29 08:00:00,6.25,,,
B448,Belleville,rawWW,cpTP24h,,2021-07-02 08:00:00,2021-07-03 08:00:00,6.25,,,
B446,Belleville,rawWW,cpTP24h,,2021-07-03 08:00:00,2021-07-04 08:00:00,6.25,,,
B444,Belleville,rawWW,cpTP24h,,2021-07-04 08:00:00,2021-07-05 08:00:00,6.25,,,
B465,Belleville,rawWW,cpTP24h,,2021-07-05 08:00:00,2021-07-06 08:00:00,6.25,,,
B484,Belleville,rawWW,cpTP24h,,2021-07-06 08:00:00,2021-07-07 08:00:00,6.25,,,
B502,Belleville,rawWW,cpTP24h,,2021-07-07 08:00:00,2021-07-08 08:00:00,6.25,,,
B543,Belleville,rawWW,cpTP24h,,2021-07-09 08:00:00,2021-07-10 08:00:00,6.25,,,
B541,Belleville,rawWW,cpTP24h,,2021-07-10 08:00:00,2021-07-11 08:00:00,6.25,,,
B539,Belleville,rawWW,cpTP24h,,2021-07-11 08:00:00,2021-07-12 08:00:00,6.25,,,
B558,Belleville,rawWW,cpTP24h,,2021-07-12 08:00:00,2021-07-13 08:00:00,6.25,,,
B573,Belleville,rawWW,cpTP24h,,2021-07-13 08:00:00,2021-07-14 08:00:00,6.25,,,
B585,Belleville,rawWW,cpTP24h,,2021-07-14 08:00:00,2021-07-15 08:00:00,6.25,,,
B625,Belleville,rawWW,cpTP24h,,2021-07-16 08:00:00,2021-07-17 08:00:00,6.25,,,
B623,Belleville,rawWW,cpTP24h,,2021-07-17 08:00:00,2021-07-18 08:00:00,6.25,,,
B621,Belleville,rawWW,cpTP24h,,2021-07-18 08:00:00,2021-07-19 08:00:00,6.25,,,
B640,Belleville,rawWW,cpTP24h,,2021-07-19 08:00:00,2021-07-20 08:00:00,6.25,,,
