uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes
6,PTBO_WWTF,A132,MH,2021-01-29 08:00:00,wwFlow,,,single,,,33.18,ML/D,
17,PTBO_WWTF,A117,MH,2021-02-24 08:00:00,wwFlow,,,single,,,32.35,ML/D,
18,PTBO_WWTF,A134,MH,2021-02-25 08:00:00,wwFlow,,,single,,,32.08,ML/D,
19,PTBO_WWTF,A145,MH,2021-03-01 08:00:00,wwFlow,,,single,,,34.57,ML/D,
20,PTBO_WWTF,A157,MH,2021-03-03 08:00:00,wwFlow,,,single,,,34.22,ML/D,
21,PTBO_WWTF,A231,MH,2021-03-04 08:00:00,wwFlow,,,single,,,33.89,ML/D,
22,PTBO_WWTF,A232,MH,2021-03-05 08:00:00,wwFlow,,,single,,,33.77,ML/D,
23,PTBO_WWTF,A233,MH,2021-03-08 08:00:00,wwFlow,,,single,,,33.4,ML/D,
24,PTBO_WWTF,A234,MH,2021-03-09 08:00:00,wwFlow,,,single,,,32.22,ML/D,
25,PTBO_WWTF,A235,MH,2021-03-10 08:00:00,wwFlow,,,single,,,33.2,ML/D,
26,PTBO_WWTF,A236,MH,2021-03-11 08:00:00,wwFlow,,,single,,,35.94,ML/D,
27,PTBO_WWTF,A237,MH,2021-03-12 08:00:00,wwFlow,,,single,,,50.27,ML/D,
28,PTBO_WWTF,A223,MH,2021-03-15 08:00:00,wwFlow,,,single,,,42.24,ML/D,
29,PTBO_WWTF,A222,MH,2021-03-16 08:00:00,wwFlow,,,single,,,41.64,ML/D,
30,PTBO_WWTF,A238,MH,2021-03-17 08:00:00,wwFlow,,,single,,,40.32,ML/D,
31,PTBO_WWTF,A262,MH,2021-03-18 08:00:00,wwFlow,,,single,,,39.08,ML/D,
32,PTBO_WWTF,A263,MH,2021-03-19 08:00:00,wwFlow,,,single,,,38.53,ML/D,
33,PTBO_WWTF,A276,MH,2021-03-22 08:00:00,wwFlow,,,single,,,37.62,ML/D,
34,PTBO_WWTF,A309,MH,2021-03-24 08:00:00,wwFlow,,,single,,,37.58,ML/D,
35,PTBO_WWTF,A311,MH,2021-03-25 08:00:00,wwFlow,,,single,,,37.67,ML/D,
36,PTBO_WWTF,A318,MH,2021-03-26 08:00:00,wwFlow,,,single,,,38.14,ML/D,
37,PTBO_WWTF,A338,MH,2021-03-29 08:00:00,wwFlow,,,single,,,58.28,ML/D,
38,PTBO_WWTF,A346,MH,2021-03-30 08:00:00,wwFlow,,,single,,,56.42,ML/D,
39,PTBO_WWTF,A367,MH,2021-03-31 08:00:00,wwFlow,,,single,,,52.11,ML/D,
40,PTBO_WWTF,A374,MH,2021-04-01 08:00:00,wwFlow,,,single,,,49.27,ML/D,
41,PTBO_WWTF,A386,MH,2021-04-02 08:00:00,wwFlow,,,single,,,47.03,ML/D,
42,PTBO_WWTF,A404,MH,2021-04-05 08:00:00,wwFlow,,,single,,,42.55,ML/D,
43,PTBO_WWTF,A406,MH,2021-04-06 08:00:00,wwFlow,,,single,,,41.89,ML/D,
44,PTBO_WWTF,A425,MH,2021-04-07 08:00:00,wwFlow,,,single,,,41.02,ML/D,
45,PTBO_WWTF,A433,MH,2021-04-08 08:00:00,wwFlow,,,single,,,39.91,ML/D,
46,PTBO_WWTF,A480,MH,2021-04-09 08:00:00,wwFlow,,,single,,,39.67,ML/D,
47,PTBO_WWTF,A500,MH,2021-04-12 08:00:00,wwFlow,,,single,,,40.35,ML/D,
48,PTBO_WWTF,A531,MH,2021-04-13 08:00:00,wwFlow,,,single,,,41.58,ML/D,
49,PTBO_WWTF,A493,MH,2021-04-14 08:00:00,wwFlow,,,single,,,41.58,ML/D,
50,PTBO_WWTF,A506,MH,2021-04-15 08:00:00,wwFlow,,,single,,,40.13,ML/D,
51,PTBO_WWTF,A541,MH,2021-04-16 08:00:00,wwFlow,,,single,,,43.28,ML/D,
52,PTBO_WWTF,A634,MH,2021-04-19 08:00:00,wwFlow,,,single,,,42.76,ML/D,
53,PTBO_WWTF,A635,MH,2021-04-20 08:00:00,wwFlow,,,single,,,41.37,ML/D,
54,PTBO_WWTF,A636,MH,2021-04-21 08:00:00,wwFlow,,,single,,,41.75,ML/D,
55,PTBO_WWTF,A637,MH,2021-04-22 08:00:00,wwFlow,,,single,,,41.98,ML/D,
56,PTBO_WWTF,A638,MH,2021-04-23 08:00:00,wwFlow,,,single,,,41.37,ML/D,
57,PTBO_WWTF,A607,MH,2021-04-25 08:00:00,wwFlow,,,single,,,37.99,ML/D,
58,PTBO_WWTF,A619,MH,2021-04-26 08:00:00,wwFlow,,,single,,,37.99,ML/D,
59,PTBO_WWTF,A628,MH,2021-04-27 08:00:00,wwFlow,,,single,,,44.45,ML/D,
60,PTBO_WWTF,A648,MH,2021-04-29 08:00:00,wwFlow,,,single,,,43.83,ML/D,
61,PTBO_WWTF,A669,MH,2021-04-30 08:00:00,wwFlow,,,single,,,43.83,ML/D,
62,PTBO_WWTF,A685,MH,2021-05-03 08:00:00,wwFlow,,,single,,,45.93,ML/D,
63,PTBO_WWTF,A736,MH,2021-05-04 08:00:00,wwFlow,,,single,,,46.85,ML/D,
64,PTBO_WWTF,A721,MH,2021-05-05 08:00:00,wwFlow,,,single,,,48.01,ML/D,
65,PTBO_WWTF,A738,MH,2021-05-06 08:00:00,wwFlow,,,single,,,47.3,ML/D,
66,PTBO_WWTF,A743,MH,2021-05-07 08:00:00,wwFlow,,,single,,,44.98,ML/D,
67,PTBO_WWTF,A821,MH,2021-05-10 08:00:00,wwFlow,,,single,,,41.67,ML/D,
68,PTBO_WWTF,A780,MH,2021-05-11 08:00:00,wwFlow,,,single,,,41.13,ML/D,
69,PTBO_WWTF,A814,MH,2021-05-12 08:00:00,wwFlow,,,single,,,39.93,ML/D,
70,PTBO_WWTF,A835,MH,2021-05-13 08:00:00,wwFlow,,,single,,,39.71,ML/D,
71,PTBO_WWTF,A856,MH,2021-05-14 08:00:00,wwFlow,,,single,,,38.82,ML/D,
72,PTBO_WWTF,A878,MH,2021-05-17 08:00:00,wwFlow,,,single,,,37.64,ML/D,
73,PTBO_WWTF,A892,MH,2021-05-18 08:00:00,wwFlow,,,single,,,37.55,ML/D,
74,PTBO_WWTF,A913,MH,2021-05-19 08:00:00,wwFlow,,,single,,,36.87,ML/D,
75,PTBO_WWTF,A928,MH,2021-05-20 08:00:00,wwFlow,,,single,,,36.35,ML/D,
76,PTBO_WWTF,A941,MH,2021-05-21 08:00:00,wwFlow,,,single,,,35.68,ML/D,
77,PTBO_WWTF,A954,MH,2021-05-25 08:00:00,wwFlow,,,single,,,34.17,ML/D,
78,PTBO_WWTF,A965,MH,2021-05-26 08:00:00,wwFlow,,,single,,,34.82,ML/D,
79,PTBO_WWTF,A976,MH,2021-05-27 08:00:00,wwFlow,,,single,,,35.02,ML/D,
80,PTBO_WWTF,A989,MH,2021-05-28 08:00:00,wwFlow,,,single,,,34.14,ML/D,
81,PTBO_WWTF,B010,MH,2021-05-29 08:00:00,wwFlow,,,single,,,33.7,ML/D,
83,PTBO_WWTF,B006,MH,2021-05-31 08:00:00,wwFlow,,,single,,,33.61,ML/D,
84,PTBO_WWTF,B019,MH,2021-06-01 08:00:00,wwFlow,,,single,,,33.65,ML/D,
85,PTBO_WWTF,B038,MH,2021-06-02 08:00:00,wwFlow,,,single,,,34.51,ML/D,
86,PTBO_WWTF,B056,MH,2021-06-03 08:00:00,wwFlow,,,single,,,33.39,ML/D,
87,PTBO_WWTF,B078,MH,2021-06-04 08:00:00,wwFlow,,,single,,,33.84,ML/D,
88,PTBO_WWTF,B086,MH,2021-06-07 08:00:00,wwFlow,,,single,,,32.98,ML/D,
89,PTBO_WWTF,B113,MH,2021-06-08 08:00:00,wwFlow,,,single,,,32.81,ML/D,
90,PTBO_WWTF,B132,MH,2021-06-09 08:00:00,wwFlow,,,single,,,33.33,ML/D,
91,PTBO_WWTF,B151,MH,2021-06-10 08:00:00,wwFlow,,,single,,,32.65,ML/D,
92,PTBO_WWTF,B171,MH,2021-06-11 08:00:00,wwFlow,,,single,,,32.19,ML/D,
93,PTBO_WWTF,B187,MH,2021-06-14 08:00:00,wwFlow,,,single,,,31.44,ML/D,
94,PTBO_WWTF,B206,MH,2021-06-15 08:00:00,wwFlow,,,single,,,31.6,ML/D,
95,PTBO_WWTF,B225,MH,2021-06-16 08:00:00,wwFlow,,,single,,,32.09,ML/D,
96,PTBO_WWTF,B241,MH,2021-06-17 08:00:00,wwFlow,,,single,,,32.56,ML/D,
97,PTBO_WWTF,B260,MH,2021-06-18 08:00:00,wwFlow,,,single,,,31.26,ML/D,
98,PTBO_WWTF,B282,MH,2021-06-21 08:00:00,wwFlow,,,single,,,31.61,ML/D,
99,PTBO_WWTF,B300,MH,2021-06-22 08:00:00,wwFlow,,,single,,,32.16,ML/D,
100,PTBO_WWTF,B319,MH,2021-06-23 08:00:00,wwFlow,,,single,,,31.62,ML/D,
101,PTBO_WWTF,B334,MH,2021-06-24 08:00:00,wwFlow,,,single,,,31.11,ML/D,
102,PTBO_WWTF,B349,MH,2021-06-26 08:00:00,wwFlow,,,single,,,30.79,ML/D,
103,PTBO_WWTF,B364,MH,2021-06-29 08:00:00,wwFlow,,,single,,,33.49,ML/D,
104,PTBO_WWTF,B377,MH,2021-06-30 08:00:00,wwFlow,,,single,,,38.64,ML/D,
105,Millbrook,B116,MH,2021-06-07 08:00:00,wwFlow,,,single,,,427.0,m3/d,
106,Millbrook,B135,MH,2021-06-08 08:00:00,wwFlow,,,single,,,423.0,m3/d,
107,Millbrook,B154,MH,2021-06-09 08:00:00,wwFlow,,,single,,,403.0,m3/d,
108,Millbrook,B190,MH,2021-06-11 08:00:00,wwFlow,,,single,,,393.0,m3/d,
109,Millbrook,B209,MH,2021-06-14 08:00:00,wwFlow,,,single,,,410.0,m3/d,
110,Millbrook,B228,MH,2021-06-15 08:00:00,wwFlow,,,single,,,387.0,m3/d,
111,Millbrook,B244,MH,2021-06-16 08:00:00,wwFlow,,,single,,,389.0,m3/d,
112,Millbrook,B263,MH,2021-06-17 08:00:00,wwFlow,,,single,,,404.0,m3/d,
113,Millbrook,B303,MH,2021-06-21 08:00:00,wwFlow,,,single,,,402.0,m3/d,
114,Millbrook,B322,MH,2021-06-22 08:00:00,wwFlow,,,single,,,385.0,m3/d,
115,Millbrook,B337,MH,2021-06-23 08:00:00,wwFlow,,,single,,,382.0,m3/d,
116,Millbrook,B352,MH,2021-06-25 08:00:00,wwFlow,,,single,,,368.0,m3/d,
117,Millbrook,B367,MH,2021-06-26 08:00:00,wwFlow,,,single,,,425.0,m3/d,
118,Millbrook,B380,MH,2021-06-29 08:00:00,wwFlow,,,single,,,391.0,m3/d,
119,Millbrook,B399,MH,2021-06-30 08:00:00,wwFlow,,,single,,,440.0,m3/d,
120,PTBO_WWTF,B411,MH,2021-07-02 08:00:00,wwFlow,,,single,,,34.18,ML/D,B413
121,PTBO_WWTF,B417,MH,2021-07-05 08:00:00,wwFlow,,,single,,,32.69,ML/D,B419
122,PTBO_WWTF,B437,MH,2021-07-06 08:00:00,wwFlow,,,single,,,34.25,ML/D,B439
123,PTBO_WWTF,B457,MH,2021-07-07 08:00:00,wwFlow,,,single,,,36.13,ML/D,B459
124,PTBO_WWTF,B478,MH,2021-07-08 08:00:00,wwFlow,,,single,,,35.79,ML/D,B480
125,PTBO_WWTF,B497,MH,2021-07-09 08:00:00,wwFlow,,,single,,,50.71,ML/D,B499
126,PTBO_WWTF,B513,MH,2021-07-12 08:00:00,wwFlow,,,single,,,37.72,ML/D,B515
127,PTBO_WWTF,B532,MH,2021-07-13 08:00:00,wwFlow,,,single,,,39.09,ML/D,B534
128,PTBO_WWTF,B551,MH,2021-07-14 08:00:00,wwFlow,,,single,,,37.74,ML/D,B553
129,PTBO_WWTF,B566,MH,2021-07-15 08:00:00,wwFlow,,,single,,,37.75,ML/D,B568
130,PTBO_WWTF,B579,MH,2021-07-16 08:00:00,wwFlow,,,single,,,38.03,ML/D,B581
131,PTBO_WWTF,B594,MH,2021-07-19 08:00:00,wwFlow,,,single,,,38.76,ML/D,B596
132,PTBO_WWTF,B614,MH,2021-07-20 08:00:00,wwFlow,,,single,,,40.63,ML/D,B616
133,PTBO_WWTF,B633,MH,2021-07-21 08:00:00,wwFlow,,,single,,,38.78,ML/D,B635
134,PTBO_WWTF,B648,MH,2021-07-22 08:00:00,wwFlow,,,single,,,37.52,ML/D,B650
135,PTBO_WWTF,B663,MH,2021-07-23 08:00:00,wwFlow,,,single,,,36.2,ML/D,B665
136,PTBO_WWTF,B678,MH,2021-07-26 08:00:00,wwFlow,,,single,,,36.04,ML/D,B680
137,PTBO_WWTF,B697,MH,2021-07-27 08:00:00,wwFlow,,,single,,,36.11,ML/D,B699
138,PTBO_WWTF,B716,MH,2021-07-28 08:00:00,wwFlow,,,single,,,34.8,ML/D,B718
139,PTBO_WWTF,B740,MH,2021-07-29 08:00:00,wwFlow,,,single,,,35.57,ML/D,B742
140,PTBO_WWTF,B737,MH,2021-07-30 08:00:00,wwFlow,,,single,,,36.74,ML/D,B739
141,PTBO_WWTF,B761,MH,2021-08-03 08:00:00,wwFlow,,,single,,,34.04,ML/D,B763
142,PTBO_WWTF,B781,MH,2021-08-04 08:00:00,wwFlow,,,single,,,33.85,ML/D,B783
