sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes,sampleDate
271R-I-A1,GE BOOTH,pstGrit,cpTP24h,,2021-01-13 09:33:00.000,2021-01-14 09:33:00.000,5,4.0,Yes,2021-01-18,2021-01-18 12:40:00,,2021-01-14
270R-I-A1,CLARKSON,pstGrit,cpTP24h,,2021-01-13 08:33:00.000,2021-01-14 08:33:00.000,5,4.0,Yes,2021-01-18,2021-01-18 12:40:00,,2021-01-14
272R-I-A1,HUMBER AMF,rawWW,cpTP24h,,2021-01-13 13:48:00.000,2021-01-14 13:48:00.000,5,4.0,Yes,2021-01-18,2021-01-18 14:30:00,,2021-01-14
271F-I-A1,GE BOOTH,pstGrit,cpTP24h,,2021-01-14 09:44:00.000,2021-01-15 09:44:00.000,5,4.0,Yes,2021-01-18,2021-01-18 12:40:00,,2021-01-15
270F-I-A1,CLARKSON,pstGrit,cpTP24h,,2021-01-14 09:11:00.000,2021-01-15 09:11:00.000,5,4.0,Yes,2021-01-18,2021-01-18 12:40:00,,2021-01-15
272F-I-A1,HUMBER AMF,rawWW,cpTP24h,,2021-01-14 13:48:00.000,2021-01-15 13:48:00.000,5,4.0,Yes,2021-01-18,2021-01-18 12:40:00,,2021-01-15
285S-I-A1,WATERLOO,rawWW,cpTP24h,,2021-01-15 08:00:00.000,2021-01-16 08:00:00.000,10,4.0,Yes,2021-01-18,2021-01-18 11:00:00,,2021-01-16
286S-I-A1,KITCHENER,pstGrit,cpTP24h,,2021-01-15 07:00:00.000,2021-01-16 07:00:00.000,10,4.0,Yes,2021-01-18,2021-01-18 11:00:00,,2021-01-16
287S-I-A1,GALT,rawWW,cpTP24h,,2021-01-15 10:30:00.000,2021-01-16 10:30:00.000,10,4.0,Yes,2021-01-18,2021-01-18 11:00:00,,2021-01-16
279M-I-A1,CLARKSON,pstGrit,cpTP24h,,2021-01-17 09:13:00.000,2021-01-18 09:13:00.000,5,4.0,Yes,2021-01-18,2021-01-18 12:40:00,,2021-01-18
