uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes
271R-I-A1-wwBOD-1,GE BOOTH,271R-I-A1,HDhiyebi,2021-01-14 00:00:00,other,wwBOD,Total BOD,single,,,330.0,mg/L,
271R-I-A1-wwTKN-1,GE BOOTH,271R-I-A1,HDhiyebi,2021-01-14 00:00:00,other,wwTKN,Total Kjeldahl Nitrogen (TKN),single,,,33.0,mg/L,
271R-I-A1-wwTSS-1,GE BOOTH,271R-I-A1,HDhiyebi,2021-01-14 00:00:00,wwTSS,,Total Suspended Solids,single,,,410.0,mg/L,
271R-I-A1-wwCBOD-1,GE BOOTH,271R-I-A1,HDhiyebi,2021-01-14 00:00:00,other,wwCBOD,Total Carbonaceous BOD,single,,,280.0,mg/L,
271R-I-A1-wwFlow-1,GE BOOTH,271R-I-A1,HDhiyebi,2021-01-14 00:00:00,wwFlow,,Flow rate,single,,,406860.0,m3/day,
270R-I-A1-wwTSS-1,CLARKSON,270R-I-A1,HDhiyebi,2021-01-14 00:00:00,wwTSS,,Total Suspended Solids,single,,,250.0,mg/L,
270R-I-A1-wwCBOD-1,CLARKSON,270R-I-A1,HDhiyebi,2021-01-14 00:00:00,other,wwCBOD,Total Carbonaceous BOD,single,,,250.0,mg/L,
270R-I-A1-wwFlow-1,CLARKSON,270R-I-A1,HDhiyebi,2021-01-14 00:00:00,wwFlow,,Flow rate,single,,,214391.0,m3/day,
270R-I-A1-wwTKN-1,CLARKSON,270R-I-A1,HDhiyebi,2021-01-14 00:00:00,other,wwTKN,Total Kjeldahl Nitrogen (TKN),single,,,37.0,mg/L,
272R-I-A1-wwFlow-1,HUMBER AMF,272R-I-A1,HDhiyebi,2021-01-14 00:00:00,wwFlow,,Flow,single,,,34381.8,m3/day,
272R-I-A1-wwCOD-1,HUMBER AMF,272R-I-A1,HDhiyebi,2021-01-14 00:00:00,wwCOD,,Total Chemical Oxygen Demand (COD),single,,,660.0,mg/L,
272R-I-A1-wwTSS-1,HUMBER AMF,272R-I-A1,HDhiyebi,2021-01-14 00:00:00,wwTSS,,Total Suspended Solids,single,,,280.0,mg/L,
272R-I-A1-wwCBOD-1,HUMBER AMF,272R-I-A1,HDhiyebi,2021-01-14 00:00:00,other,wwCBOD,Total Carbonaceous BOD,single,,,320.0,mg/L,
