sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes
21,GRWY,rawWW,cpTP24h,,2021-01-02 08:00:00,2021-01-03 08:00:00,1.0,4,Yes,,,
22,ADEL,pstGrit,cpTP24h,,2021-01-02 08:00:00,2021-01-03 08:00:00,1.0,4,Yes,,,
23,OXFO,pstGrit,cpTP24h,,2021-01-02 08:00:00,2021-01-03 08:00:00,1.0,4,Yes,,,
24,POTT,rawWW,cpTP24h,,2021-01-02 08:00:00,2021-01-03 08:00:00,1.0,4,Yes,,,
25,VXHL,rawWW,cpTP24h,,2021-01-02 08:00:00,2021-01-03 08:00:00,1.0,4,Yes,,,
26,GRWY,rawWW,cpTP24h,,2021-01-09 08:00:00,2021-01-10 08:00:00,1.0,4,Yes,,,
27,ADEL,pstGrit,cpTP24h,,2021-01-09 08:00:00,2021-01-10 08:00:00,1.0,4,Yes,,,
28,OXFO,pstGrit,cpTP24h,,2021-01-09 08:00:00,2021-01-10 08:00:00,1.0,4,Yes,,,
29,POTT,rawWW,cpTP24h,,2021-01-09 08:00:00,2021-01-10 08:00:00,1.0,4,Yes,,,
30,VXHL,rawWW,cpTP24h,,2021-01-09 08:00:00,2021-01-10 08:00:00,1.0,4,Yes,,,
31,GRWY,rawWW,cpTP24h,,2021-01-16 08:00:00,2021-01-17 08:00:00,1.0,4,Yes,,,
32,ADEL,pstGrit,cpTP24h,,2021-01-16 08:00:00,2021-01-17 08:00:00,1.0,4,Yes,,,
33,OXFO,pstGrit,cpTP24h,,2021-01-16 08:00:00,2021-01-17 08:00:00,1.0,4,Yes,,,
34,POTT,rawWW,cpTP24h,,2021-01-16 08:00:00,2021-01-17 08:00:00,1.0,4,Yes,,,
35,VXHL,rawWW,cpTP24h,,2021-01-16 08:00:00,2021-01-17 08:00:00,1.0,4,Yes,,,
36,GRWY,rawWW,cpTP24h,,2021-01-23 08:00:00,2021-01-24 08:00:00,1.0,4,Yes,,,
37,ADEL,pstGrit,cpTP24h,,2021-01-23 08:00:00,2021-01-24 08:00:00,1.0,4,Yes,,,
38,OXFO,pstGrit,cpTP24h,,2021-01-23 08:00:00,2021-01-24 08:00:00,1.0,4,Yes,,,
39,POTT,rawWW,cpTP24h,,2021-01-23 08:00:00,2021-01-24 08:00:00,1.0,4,Yes,,,
40,VXHL,rawWW,cpTP24h,,2021-01-23 08:00:00,2021-01-24 08:00:00,1.0,4,Yes,,,
41,GRWY,rawWW,cpTP24h,,2021-01-30 08:00:00,2021-01-31 08:00:00,1.0,4,Yes,,,
42,ADEL,pstGrit,cpTP24h,,2021-01-30 08:00:00,2021-01-31 08:00:00,1.0,4,Yes,,,
43,OXFO,pstGrit,cpTP24h,,2021-01-30 08:00:00,2021-01-31 08:00:00,1.0,4,Yes,,,
44,POTT,rawWW,cpTP24h,,2021-01-30 08:00:00,2021-01-31 08:00:00,1.0,4,Yes,,,
45,VXHL,rawWW,cpTP24h,,2021-01-30 08:00:00,2021-01-31 08:00:00,1.0,4,Yes,,,
46,GRWY,rawWW,cpTP24h,,2021-02-06 08:00:00,2021-02-07 08:00:00,1.0,4,Yes,,,
47,ADEL,pstGrit,cpTP24h,,2021-02-06 08:00:00,2021-02-07 08:00:00,1.0,4,Yes,,,
48,OXFO,pstGrit,cpTP24h,,2021-02-06 08:00:00,2021-02-07 08:00:00,1.0,4,Yes,,,
49,POTT,rawWW,cpTP24h,,2021-02-06 08:00:00,2021-02-07 08:00:00,1.0,4,Yes,,,
50,VXHL,rawWW,cpTP24h,,2021-02-06 08:00:00,2021-02-07 08:00:00,1.0,4,Yes,,,
51,GRWY,rawWW,cpTP24h,,2021-02-13 08:00:00,2021-02-14 08:00:00,1.0,4,Yes,,,
52,ADEL,pstGrit,cpTP24h,,2021-02-13 08:00:00,2021-02-14 08:00:00,1.0,4,Yes,,,
53,OXFO,pstGrit,cpTP24h,,2021-02-13 08:00:00,2021-02-14 08:00:00,1.0,4,Yes,,,
54,POTT,rawWW,cpFP24h,,2021-02-13 08:00:00,2021-02-14 08:00:00,1.0,4,Yes,,,
55,VXHL,rawWW,cpTP24h,,2021-02-13 08:00:00,2021-02-14 08:00:00,1.0,4,Yes,,,
56,GRWY,rawWW,cpTP24h,,2021-02-20 08:00:00,2021-02-21 08:00:00,0.5,4,Yes,,,
57,GRWY,rawWW,cpTP24h,,2021-02-20 08:00:00,2021-02-21 08:00:00,0.5,4,Yes,,,
58,ADEL,pstGrit,cpTP24h,,2021-02-20 08:00:00,2021-02-21 08:00:00,0.5,4,Yes,,,
59,ADEL,pstGrit,cpTP24h,,2021-02-20 08:00:00,2021-02-21 08:00:00,0.5,4,Yes,,,
60,OXFO,pstGrit,cpTP24h,,2021-02-20 08:00:00,2021-02-21 08:00:00,0.5,4,Yes,,,
61,OXFO,pstGrit,cpTP24h,,2021-02-20 08:00:00,2021-02-21 08:00:00,0.5,4,Yes,,,
62,POTT,rawWW,cpTP24h,,2021-02-20 08:00:00,2021-02-21 08:00:00,0.5,4,Yes,,,
63,POTT,rawWW,cpTP24h,,2021-02-20 08:00:00,2021-02-21 08:00:00,0.5,4,Yes,,,
64,VXHL,rawWW,cpTP24h,,2021-02-20 08:00:00,2021-02-21 08:00:00,0.5,4,Yes,,,
65,VXHL,rawWW,cpTP24h,,2021-02-20 08:00:00,2021-02-21 08:00:00,0.5,4,Yes,,,
66,GRWY,rawWW,cpTP24h,,2021-02-27 08:00:00,2021-02-28 08:00:00,0.5,4,Yes,,,
67,GRWY,rawWW,cpTP24h,,2021-02-27 08:00:00,2021-02-28 08:00:00,0.5,4,Yes,,,
