uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes
6_ADEL_22_wwFlow_2021-01-03,ADEL,22,DeGroot,2021-01-03 08:00:00,wwFlow,,,mean,,,24242.0,m3/d,
7_ADEL_27_wwFlow_2021-01-10,ADEL,27,DeGroot,2021-01-10 08:00:00,wwFlow,,,mean,,,22516.0,m3/d,
8_ADEL_32_wwFlow_2021-01-17,ADEL,32,DeGroot,2021-01-17 08:00:00,wwFlow,,,mean,,,22262.0,m3/d,
9_ADEL_37_wwFlow_2021-01-24,ADEL,37,DeGroot,2021-01-24 08:00:00,wwFlow,,,mean,,,23890.0,m3/d,
10_ADEL_42_wwFlow_2021-01-31,ADEL,42,DeGroot,2021-01-31 08:00:00,wwFlow,,,mean,,,21376.0,m3/d,
11_ADEL_47_wwFlow_2021-02-07,ADEL,47,DeGroot,2021-02-07 08:00:00,wwFlow,,,mean,,,17900.0,m3/d,
12_ADEL_52_wwFlow_2021-02-14,ADEL,52,DeGroot,2021-02-14 08:00:00,wwFlow,,,mean,,,19242.0,m3/d,
13_ADEL_58_wwFlow_2021-02-21,ADEL,58,DeGroot,2021-02-21 08:00:00,wwFlow,,,mean,,,18558.0,m3/d,
14_ADEL_59_wwFlow_2021-02-21,ADEL,59,DeGroot,2021-02-21 08:00:00,wwFlow,,,mean,,,18558.0,m3/d,
15_ADEL_68_wwFlow_2021-02-28,ADEL,68,DeGroot,2021-02-28 08:00:00,wwFlow,,,mean,,,26701.0,m3/d,
16_ADEL_69_wwFlow_2021-02-28,ADEL,69,DeGroot,2021-02-28 08:00:00,wwFlow,,,mean,,,26701.0,m3/d,
17_ADEL_78_wwFlow_2021-03-07,ADEL,78,DeGroot,2021-03-07 08:00:00,wwFlow,,,mean,,,26430.0,m3/d,
18_ADEL_79_wwFlow_2021-03-07,ADEL,79,DeGroot,2021-03-07 08:00:00,wwFlow,,,mean,,,26430.0,m3/d,
19_ADEL_88_wwFlow_2021-03-09,ADEL,88,DeGroot,2021-03-09 08:00:00,wwFlow,,,mean,,,26430.0,m3/d,
20_ADEL_89_wwFlow_2021-03-09,ADEL,89,DeGroot,2021-03-09 08:00:00,wwFlow,,,mean,,,26430.0,m3/d,
21_ADEL_98_wwFlow_2021-03-11,ADEL,98,DeGroot,2021-03-11 08:00:00,wwFlow,,,mean,,,26430.0,m3/d,
22_ADEL_99_wwFlow_2021-03-11,ADEL,99,DeGroot,2021-03-11 08:00:00,wwFlow,,,mean,,,26430.0,m3/d,
23_ADEL_108_wwFlow_2021-03-14,ADEL,108,DeGroot,2021-03-14 07:30:00,wwFlow,,,mean,,,26430.0,m3/d,
24_ADEL_109_wwFlow_2021-03-14,ADEL,109,DeGroot,2021-03-14 08:00:00,wwFlow,,,mean,,,26430.0,m3/d,
25_ADEL_118_wwFlow_2021-03-16,ADEL,118,DeGroot,2021-03-16 08:30:00,wwFlow,,,mean,,,26430.0,m3/d,
26_ADEL_119_wwFlow_2021-03-16,ADEL,119,DeGroot,2021-03-16 08:30:00,wwFlow,,,mean,,,26430.0,m3/d,
27_ADEL_128_wwFlow_2021-03-18,ADEL,128,DeGroot,2021-03-18 08:30:00,wwFlow,,,mean,,,26430.0,m3/d,
28_ADEL_129_wwFlow_2021-03-18,ADEL,129,DeGroot,2021-03-18 08:30:00,wwFlow,,,mean,,,26430.0,m3/d,
29_ADEL_138_wwFlow_2021-03-21,ADEL,138,DeGroot,2021-03-21 09:00:00,wwFlow,,,mean,,,26430.0,m3/d,
30_ADEL_139_wwFlow_2021-03-21,ADEL,139,DeGroot,2021-03-21 09:00:00,wwFlow,,,mean,,,26430.0,m3/d,
31_ADEL_148_wwFlow_2021-03-23,ADEL,148,DeGroot,2021-03-23 08:30:00,wwFlow,,,mean,,,26430.0,m3/d,
