sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes,sampleDate
PM239,GREEN,rawWW,cpTP24h,,2021-01-02 01:30:00,2021-01-03 01:30:00,0.5,,Yes,,,Sample picked up at plant and transported to lab,2021-01-03
PM240,ADELAIDE,rawWW,cpTP24h,,2021-01-02 09:20:00,2021-01-03 09:20:00,0.5,,Yes,,,Sample picked up at plant and transported to lab,2021-01-03
PM241,OXFORD,rawWW,cpTP24h,,2021-01-02 07:15:00,2021-01-03 07:15:00,0.5,,Yes,,,Sample picked up at plant and transported to lab,2021-01-03
PM242,POTTS,rawWW,cpTP24h,,2021-01-02 07:30:00,2021-01-03 07:30:00,0.5,,Yes,,,Sample picked up at plant and transported to lab,2021-01-03
PM243,VAUX,rawWW,cpTP24h,,2021-01-02 09:00:00,2021-01-03 09:00:00,0.5,,Yes,,,Sample picked up at plant and transported to lab,2021-01-03
PM244,LRWRP,rawWW,cpTP24h,,2021-01-03 06:30:00,2021-01-04 06:30:00,1.0,11.6,Yes,,,Sample picked up at plant and transported to lab,2021-01-04
PM246,LPCC,rawWW,cpTP24h,,2021-01-03 10:30:00,2021-01-04 05:30:00,1.0,10.4,Yes,,,Sample picked up at plant and transported to lab,2021-01-04
PM250,LRWRP,rawWW,cpTP24h,,2021-01-05 07:00:00,2021-01-06 07:00:00,1.0,12.4,Yes,,,Sample picked up at plant and transported to lab,2021-01-06
PM252,LA,rawWW,cpTP24h,,2021-01-04 08:00:00,2021-01-05 08:00:00,1.0,18.9,Yes,,,Sample picked up at plant and transported to lab,2021-01-05
PM253,AM,rawWW,cpTP24h,,2021-01-04 06:00:00,2021-01-05 06:00:00,1.0,10.7,Yes,,,Sample picked up at plant and transported to lab,2021-01-05
PM254,LPCC,rawWW,cpTP24h,,2021-01-05 05:30:00,2021-01-06 05:30:00,1.0,15.2,Yes,,,Sample picked up at plant and transported to lab,2021-01-06
PM255,MQ Blank,,grb,2021-01-08 09:30:00,,,,,,,,,2021-01-08
PM256,LRWRP,rawWW,cpTP24h,,2021-01-07 07:00:00,2021-01-08 07:00:00,1.0,14.1,Yes,,,Sample picked up at plant and transported to lab,2021-01-08
PM257,LRPCP,rawWW,cpTP24h,,2021-01-06 00:00:00,2021-01-06 23:55:00,1.0,,Yes,,,Sample picked up at plant and transported to lab,2021-01-06
PM258,LRPCP,rawWW,cpTP24h,,2021-01-07 00:00:00,2021-01-07 23:55:00,1.0,,Yes,,,Sample picked up at plant and transported to lab,2021-01-07
PM259,LPCC,rawWW,cpTP24h,,2021-01-07 05:30:00,2021-01-08 05:30:00,1.0,14.3,Yes,,,Sample picked up at plant and transported to lab,2021-01-08
PM267,LRWRP,rawWW,cpTP24h,,2021-01-10 06:30:00,2021-01-11 06:30:00,1.0,12.8,Yes,,,Sample picked up at plant and transported to lab,2021-01-11
PM274,LPCC,rawWW,cpTP24h,,2021-01-10 05:30:00,2021-01-11 05:30:00,1.0,13.7,Yes,,,Sample picked up at plant and transported to lab,2021-01-11
PM281,LRPCP,rawWW,cpTP24h,,2021-01-09 00:00:00,2021-01-10 00:00:00,1.0,14.7,Yes,,,Sample picked up at plant and transported to lab,2021-01-10
PM285,MQ Blank,,grb,2021-01-13 09:30:00,,,,,,,,,2021-01-13
PM286,GREEN,rawWW,cpTP24h,,2021-01-10 08:00:00,2021-01-11 08:00:00,0.5,,Yes,,,Sample picked up at plant and transported to lab,2021-01-11
PM287,ADELAIDE,rawWW,cpTP24h,,2021-01-10 08:00:00,2021-01-11 08:00:00,0.5,,Yes,,,Sample picked up at plant and transported to lab,2021-01-11
PM288,OXFORD,rawWW,cpTP24h,,2021-01-10 07:00:00,2021-01-11 07:00:00,0.5,,Yes,,,Sample picked up at plant and transported to lab,2021-01-11
PM289,POTTS,rawWW,cpTP24h,,2021-01-10 07:30:00,2021-01-11 07:30:00,0.5,,Yes,,,Sample picked up at plant and transported to lab,2021-01-11
PM290,VAUX,rawWW,cpTP24h,,2021-01-10 07:20:00,2021-01-11 07:20:00,0.5,,Yes,,,Sample picked up at plant and transported to lab,2021-01-11
PM291,LRWRP,rawWW,cpTP24h,,2021-01-12 06:30:00,2021-01-13 06:30:00,1.0,13.0,Yes,,,Sample picked up at plant and transported to lab,2021-01-13
PM292,LRPCP,rawWW,cpTP24h,,2021-01-12 00:01:00,2021-01-12 11:59:00,1.0,,Yes,,,Sample picked up at plant and transported to lab,2021-01-12
PM293,AM,rawWW,cpTP24h,,2021-01-11 06:00:00,2021-01-12 06:00:00,1.0,10.0,Yes,,,Sample picked up at plant and transported to lab,2021-01-12
PM294,LPCC,rawWW,cpTP24h,,2021-01-12 05:30:00,2021-01-13 05:30:00,1.0,14.9,Yes,,,Sample picked up at plant and transported to lab,2021-01-13
PM295,MQ Blank,,grb,2021-01-15 09:30:00,,,,,,,,,2021-01-15
PM299,LRWRP,rawWW,cpTP24h,,2021-01-14 06:30:00,2021-01-15 06:30:00,1.0,13.0,Yes,,,Sample picked up at plant and transported to lab,2021-01-15
PM300,LRPCP,rawWW,cpTP24h,,2021-01-14 00:00:00,2021-01-15 00:00:00,1.0,,Yes,,,Sample picked up at plant and transported to lab,2021-01-15
PM301,LA,rawWW,cpTP24h,,2021-01-11 00:00:00,2021-01-12 00:00:00,1.0,,Yes,,,Sample picked up at plant and transported to lab,2021-01-12
PM302,LPCC,rawWW,cpTP24h,,2021-01-14 05:30:00,2021-01-15 05:30:00,1.0,16.6,Yes,,,Sample picked up at plant and transported to lab,2021-01-15
PM315,GREEN,rawWW,cpTP24h,,2021-01-16 08:45:00,2021-01-17 08:45:00,0.5,,Yes,,,Sample picked up at plant and transported to lab,2021-01-17
PM316,ADELAIDE,rawWW,cpTP24h,,2021-01-16 08:30:00,2021-01-17 08:30:00,0.5,,Yes,,,Sample picked up at plant and transported to lab,2021-01-17
PM317,OXFORD,rawWW,cpTP24h,,2021-01-16 07:30:00,2021-01-17 07:30:00,0.5,,Yes,,,Sample picked up at plant and transported to lab,2021-01-17
PM318,POTTS,rawWW,cpTP24h,,2021-01-16 07:30:00,2021-01-17 07:30:00,0.5,,Yes,,,Sample picked up at plant and transported to lab,2021-01-17
PM319,VAUX,rawWW,cpTP24h,,2021-01-16 07:30:00,2021-01-17 07:30:00,0.5,,Yes,,,Sample picked up at plant and transported to lab,2021-01-17
PM320,LRWRP,rawWW,cpTP24h,,2021-01-17 06:45:00,2021-01-18 06:45:00,1.0,,Yes,,,Sample picked up at plant and transported to lab,2021-01-18
PM321,LRPCP,rawWW,cpTP24h,,2021-01-17 00:01:00,2021-01-17 23:59:00,1.0,,Yes,,,Sample picked up at plant and transported to lab,2021-01-17
PM322,LPCC,rawWW,cpTP24h,,2021-01-17 00:00:00,2021-01-18 00:00:00,1.0,13.1,Yes,,,Sample picked up at plant and transported to lab,2021-01-18
PM323,MQ Blank,,grb,2021-01-20 09:30:00,,,,,,,,,2021-01-20
PM324,AM,rawWW,cpTP24h,,2021-01-18 06:00:00,2021-01-19 06:00:00,1.0,10.3,Yes,,,Sample picked up at plant and transported to lab,2021-01-19
PM325,AM,rawWW,cpTP24h,,2021-01-19 06:00:00,2021-01-20 06:00:00,1.0,9.9,Yes,,,Sample picked up at plant and transported to lab,2021-01-20
PM326,LRWRP,rawWW,cpTP24h,,2021-01-19 07:00:00,2021-01-20 07:00:00,1.0,12.5,Yes,,,Sample picked up at plant and transported to lab,2021-01-20
