uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes,Unnamed: 14
SM_LA36_F,LA,PM252,McKay-GLIER,2020-12-28 10:00:00,wwFlow,,Spot check flow,single,,,194.2,L/s,,
SM_LA38_F,LA,PM346,McKay-GLIER,2021-01-21 08:23:00,wwFlow,,Spot check flow,single,,,119.0,L/s,,
SM_LA39_F,LA,PM381,McKay-GLIER,2021-01-26 08:00:00,wwFlow,,Spot check flow,single,,,129.9,L/s,,
SM_LA40_F_Spot,LA,PM411,McKay-GLIER,2021-02-03 13:00:00,wwFlow,,Spot check flow,single,,,137.77,L/s,,
SM_LA41_F_Spot,LA,PM435,McKay-GLIER,2021-02-11 13:00:00,wwFlow,,Spot check flow,single,,,123.4,L/s,,
SM_LA42_F_Spot,LA,PM459,McKay-GLIER,2021-02-17 10:00:00,wwFlow,,Spot check flow,single,,,119.1,L/s,,
SM_LA43_F_Spot,LA,PM488,McKay-GLIER,2021-02-24 10:00:00,wwFlow,,Spot check flow,mean,,,384.16,L/s,,
SM_LA44_F,LA,PM507,McKay-GLIER,2021-03-02 08:30:00,wwFlow,,Spot check flow,single,,,198.8,L/s,,
SM_LA45_F,LA,PM543,McKay-GLIER,2021-03-10 09:00:00,wwFlow,,Spot check flow,single,,,186.0,L/s,,
SM_LA46_F,LA,PM572,McKay-GLIER,2021-03-17 12:00:00,wwFlow,,Spot check flow,single,,,152.41,L/s,,
SM_LA47_F,LA,PM588,McKay-GLIER,2021-03-22 12:00:00,wwFlow,,Spot check flow,single,,,146.87,L/s,,
SM_LA50_F,LA,PM655,McKay-GLIER,2021-04-06 11:00:00,wwFlow,,Spot check flow,single,,,185.4,L/s,,
SM_LA51_F,LA,PM682,McKay-GLIER,2021-04-14 09:00:00,wwFlow,,Spot check flow,single,,,133.6,L/s,,
SM_LA52_F,LA,PM698,McKay-GLIER,2021-04-19 09:00:00,wwFlow,,Spot check flow,single,,,132.4,L/s,,
SM_LA54_F,LA,PM753,McKay-GLIER,2021-05-05 08:00:00,wwFlow,,Spot check flow,single,,,130.2,L/s,,
SM_LA55_F,LA,PM770,McKay-GLIER,2021-05-10 08:00:00,wwFlow,,Spot check flow,single,,,143.31,L/s,,
SM_LA56_F,LA,PM795,McKay-GLIER,2021-05-19 08:15:00,wwFlow,,Spot check flow,single,,,151.9,L/s,,
SM_LPCC15_F_Spot,LPCC,PM246,McKay-GLIER,2021-01-04 05:30:00,wwFlow,,Spot check flow,single,,,190.0,L/s,,
SM_LPCC16_F_Spot,LPCC,PM254,McKay-GLIER,2021-01-04 05:30:00,wwFlow,,Spot check flow,single,,,164.0,L/s,,
SM_LPCC17_F_Spot,LPCC,PM259,McKay-GLIER,2021-01-08 05:30:00,wwFlow,,Spot check flow,single,,,218.0,L/s,,
SM_LPCC18_F,LPCC,PM274,McKay-GLIER,2021-01-11 05:30:00,wwFlow,,Measured daily average flow,mean,,,174.0,L/s,,
SM_LPCC18_F_Spot,LPCC,PM259,McKay-GLIER,2021-01-08 05:30:00,wwFlow,,Spot check flow,single,,,160.0,L/s,,
SM_LPCC19_F,LPCC,PM294,McKay-GLIER,2021-01-13 05:30:00,wwFlow,,Measured daily average flow,mean,,,190.0,L/s,,
SM_LPCC19_F_Spot,LPCC,PM294,McKay-GLIER,2021-01-13 05:30:00,wwFlow,,Spot check flow,single,,,169.0,L/s,,
SM_LPCC20_F,LPCC,PM302,McKay-GLIER,2021-01-15 05:30:00,wwFlow,,Measured daily average flow,mean,,,196.0,L/s,,
SM_LPCC20_F_Spot,LPCC,PM302,McKay-GLIER,2021-01-15 05:30:00,wwFlow,,Spot check flow,single,,,180.0,L/s,,
SM_LPCC21_F,LPCC,PM322,McKay-GLIER,2021-01-18 00:00:00,wwFlow,,Measured daily average flow,mean,,,175.0,L/s,,
SM_LPCC21_F_Spot,LPCC,PM322,McKay-GLIER,2021-01-18 00:00:00,wwFlow,,Spot check flow,single,,,165.0,L/s,,
SM_LPCC22_F,LPCC,PM329,McKay-GLIER,2021-01-20 00:00:00,wwFlow,,Measured daily average flow,mean,,,198.0,L/s,,
SM_LPCC22_F_Spot,LPCC,PM329,McKay-GLIER,2021-01-20 00:00:00,wwFlow,,Spot check flow,single,,,156.0,L/s,,
