uWwMeasureID,sampleID,labID,assayMethodID,instrumentID,reporterID,analysisDate,reportDate,fractionAnalyzed,type,typeOther,unit,unitOther,index,value,qualityFlag,CF,ESV,notes
195_PM239_covE_1_2021-01-04,PM239,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,covE,,gcL,,1,16827.324048593582,,,,
196_PM239_covN1_1_2021-01-04,PM239,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,covN1,,gcL,,1,19886.633240823616,,,,
197_PM239_nPMMoV_1_2021-01-04,PM239,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,nPMMoV,,gcL,,1,92606052.21378994,,,,
198_PM240_covE_1_2021-01-04,PM240,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,covE,,gcL,,1,13809.66617543901,,,,
199_PM240_covN1_1_2021-01-04,PM240,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,covN1,,gcL,,1,4681.760222655169,,,,
200_PM240_nPMMoV_1_2021-01-04,PM240,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,nPMMoV,,gcL,,1,136264054.19948557,,,,
201_PM241_covE_1_2021-01-04,PM241,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,covE,,gcL,,1,23557.549543755526,,,,
202_PM241_covN1_1_2021-01-04,PM241,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,covN1,,gcL,,1,10321.481651209713,,,,
203_PM241_nPMMoV_1_2021-01-04,PM241,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,nPMMoV,,gcL,,1,81016756.92759664,,,,
204_PM242_covE_1_2021-01-04,PM242,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,covE,,gcL,,1,8727.227490471738,,,,
205_PM242_covN1_1_2021-01-04,PM242,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,covN1,,gcL,,1,9827.086465227667,,,,
206_PM242_nPMMoV_1_2021-01-04,PM242,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,nPMMoV,,gcL,,1,36873294.312025145,,,,
207_PM243_covE_1_2021-01-04,PM243,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,covE,,gcL,,1,5.0,,,,no detect
208_PM243_covN1_1_2021-01-04,PM243,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,covN1,,gcL,,1,11457.022731705683,,,,
209_PM243_nPMMoV_1_2021-01-04,PM243,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,nPMMoV,,gcL,,1,41136877.32556817,,,,
210_PM244_covE_1_2021-01-04,PM244,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,covE,,gcL,,1,15704.935448893693,,,,
211_PM244_covN1_1_2021-01-04,PM244,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,covN1,,gcL,,1,17542.22204790078,,,,
212_PM244_nPMMoV_1_2021-01-04,PM244,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,nPMMoV,,gcL,,1,42880324.62476654,,,,
216_PM246_covE_1_2021-01-04,PM246,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,covE,,gcL,,1,155114.01496673728,,,,
217_PM246_covN1_1_2021-01-04,PM246,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,covN1,,gcL,,1,115499.06190190029,,,,
218_PM246_nPMMoV_1_2021-01-04,PM246,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-04,2021-03-03,mixed,nPMMoV,,gcL,,1,68814456.12117769,,,,
219_PM250_covE_1_2021-01-06,PM250,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-06,2021-03-03,mixed,covE,,gcL,,1,61115.43879092576,,,,
220_PM250_covE_1_2021-01-06,PM250,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-06,2021-03-03,mixed,covE,,gcL,,1,16825.684181847664,,,,Biological replicate
221_PM250_covN1_1_2021-01-06,PM250,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-06,2021-03-03,mixed,covN1,,gcL,,1,37758.215798240184,,,,
222_PM250_covN1_1_2021-01-06,PM250,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-06,2021-03-03,mixed,covN1,,gcL,,1,18148.15154356075,,,,Biological replicate
223_PM250_nPMMoV_1_2021-01-06,PM250,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-06,2021-03-03,mixed,nPMMoV,,gcL,,1,65083031.175605625,,,,
224_PM250_nPMMoV_1_2021-01-06,PM250,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-06,2021-03-03,mixed,nPMMoV,,gcL,,1,106693822.14464429,,,,Biological replicate
225_PM252_covE_1_2021-01-06,PM252,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-06,2021-03-03,mixed,covE,,gcL,,1,47312.24309112856,,,,
226_PM252_covN1_1_2021-01-06,PM252,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-06,2021-03-03,mixed,covN1,,gcL,,1,89036.66334218638,,,,
227_PM252_nPMMoV_1_2021-01-06,PM252,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-06,2021-03-03,mixed,nPMMoV,,gcL,,1,180616712.68624598,,,,
228_PM253_covE_1_2021-01-06,PM253,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-06,2021-03-03,mixed,covE,,gcL,,1,289121.0438762474,,,,
229_PM253_covE_1_2021-01-08,PM253,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,solid,covE,,gcL,,1,65968.73952169337,,,,Biological replicate
230_PM253_covN1_1_2021-01-06,PM253,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-06,2021-03-03,mixed,covN1,,gcL,,1,296156.32489186653,,,,
231_PM253_covN1_1_2021-01-08,PM253,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,solid,covN1,,gcL,,1,28117.0224693882,,,,Biological replicate
232_PM253_nPMMoV_1_2021-01-06,PM253,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-06,2021-03-03,mixed,nPMMoV,,gcL,,1,41030174.6780324,,,,
233_PM253_nPMMoV_1_2021-01-08,PM253,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,solid,nPMMoV,,gcL,,1,25788509.835419476,,,,Biological replicate
234_PM254_covE_1_2021-01-06,PM254,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-06,2021-03-03,mixed,covE,,gcL,,1,78098.9593493673,,,,
235_PM254_covN1_1_2021-01-06,PM254,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-06,2021-03-03,mixed,covN1,,gcL,,1,56801.59188838424,,,,
236_PM254_nPMMoV_1_2021-01-06,PM254,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-06,2021-03-03,mixed,nPMMoV,,gcL,,1,58446681.626981005,,,,
237_PM255_covE_1_2021-01-08,PM255,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,mixed,covE,,gcL,,1,4083.22245917908,,,,
238_PM255_covN1_1_2021-01-08,PM255,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,mixed,covN1,,gcL,,1,5.0,,,,no detect
239_PM255_nPMMoV_1_2021-01-08,PM255,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,mixed,nPMMoV,,gcL,,1,5.0,,,,no detect
240_PM256_covE_1_2021-01-08,PM256,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,mixed,covE,,gcL,,1,300791.2071143353,,,,
241_PM256_covE_1_2021-01-11,PM256,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,covE,,gcL,,1,28677.90899056816,,,,Biological replicate
242_PM256_covN1_1_2021-01-08,PM256,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,mixed,covN1,,gcL,,1,189966.93789747293,,,,
243_PM256_covN1_1_2021-01-11,PM256,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,covN1,,gcL,,1,30721.11202858856,,,,Biological replicate
244_PM256_nPMMoV_1_2021-01-08,PM256,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,mixed,nPMMoV,,gcL,,1,119899990.09373683,,,,
245_PM256_nPMMoV_1_2021-01-11,PM256,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,nPMMoV,,gcL,,1,46649526.86088462,,,,Biological replicate
246_PM257_covE_1_2021-01-08,PM257,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,mixed,covE,,gcL,,1,51284.83476153627,,,,
247_PM257_covN1_1_2021-01-08,PM257,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,mixed,covN1,,gcL,,1,34709.5419628813,,,,
248_PM257_nPMMoV_1_2021-01-08,PM257,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,mixed,nPMMoV,,gcL,,1,37844716.60509333,,,,
249_PM258_covE_1_2021-01-08,PM258,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,mixed,covE,,gcL,,1,29096.007895786115,,,,
250_PM258_covN1_1_2021-01-08,PM258,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,mixed,covN1,,gcL,,1,24596.035760315848,,,,
251_PM258_nPMMoV_1_2021-01-08,PM258,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,mixed,nPMMoV,,gcL,,1,801295927.2391498,,,,
252_PM259_covE_1_2021-01-08,PM259,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,solid,covE,,gcL,,1,175912.88779754602,,,,
253_PM259_covN1_1_2021-01-08,PM259,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,solid,covN1,,gcL,,1,148711.69024685735,,,,
254_PM259_nPMMoV_1_2021-01-08,PM259,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-08,2021-03-03,solid,nPMMoV,,gcL,,1,66655668.436944656,,,,
257_PM267_covE_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,covE,,gcL,,1,54884.05290614289,,,,
258_PM267_covE_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,covE,,gcL,,1,21801.476662747227,,,,Biological replicate
259_PM267_covE_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,covE,,gcL,,1,45046.56250338583,,,,Biological replicate
260_PM267_covE_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,covE,,gcL,,1,22737.115432539063,,,,Biological replicate
261_PM267_covE_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,covE,,gcL,,1,13303.71497625298,,,,Biological replicate
262_PM267_covE_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,covE,,gcL,,1,14361.601755594676,,,,Biological replicate
263_PM267_covE_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,liquid,covE,,gcL,,1,2888.9535958398915,,,,Biological replicate
264_PM267_covN1_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,covN1,,gcL,,1,18701.06833246882,,,,
265_PM267_covN1_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,covN1,,gcL,,1,26194.654650861332,,,,Biological replicate
266_PM267_covN1_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,covN1,,gcL,,1,21604.853250535598,,,,Biological replicate
267_PM267_covN1_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,covN1,,gcL,,1,17766.901359524403,,,,Biological replicate
268_PM267_covN1_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,covN1,,gcL,,1,25687.422009126803,,,,Biological replicate
269_PM267_covN1_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,covN1,,gcL,,1,15683.11489653735,,,,Biological replicate
270_PM267_covN1_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,liquid,covN1,,gcL,,1,291.28582753149624,,,,Biological replicate
271_PM267_nPMMoV_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,nPMMoV,,gcL,,1,69293138.69628453,,,,
272_PM267_nPMMoV_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,nPMMoV,,gcL,,1,37436035.17645775,,,,Biological replicate
273_PM267_nPMMoV_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,mixed,nPMMoV,,gcL,,1,52216508.709269024,,,,Biological replicate
274_PM267_nPMMoV_1_2021-01-11,PM267,UWin_GLIER,RT-qPCR_Assay_3,Sansure Biotech MA-6000,McKay-GLIER,2021-01-11,2021-03-04,solid,nPMMoV,,gcL,,1,34217115.62566381,,,,Biological replicate
